<<<<<<< HEAD
id,account,amount,Location,Country,Time,tid,transaction_type
77,77,7.99,"b'Northville, Michigan'",US,2016-11-24T03:38:24.000Z,77,exp
78,78,7.99,"b'Martins Ferry, Ohio'",US,2016-11-24T04:00:47.000Z,78,exp
79,79,7.99,b'California',US,2016-11-24T03:39:15.000Z,79,exp
80,80,7.99,"b'Lexington, Kentucky'",US,2016-11-24T03:42:05.000Z,80,exp
81,81,8,"b'Kinzers, Pennsylvania'",US,2016-11-24T04:00:15.000Z,81,exp
82,82,8.95,"b'Lakewood, New York'",US,2016-11-24T04:01:43.000Z,82,exp
83,83,8.95,"b'Plainsboro, New Jersey'",US,2016-11-24T03:41:46.000Z,83,exp
84,84,8.95,"b'The Finger Lakes, NY'",US,2016-11-24T03:45:25.000Z,84,exp
85,85,8.95,"b'Lakewood, New York'",US,2016-11-24T03:52:02.000Z,85,exp
86,86,8.99,"b'Rock Hill, South Carolina'",US,2016-11-24T03:38:01.000Z,86,exp
87,87,8.99,"b'Rock Hill, South Carolina'",US,2016-11-24T03:40:16.000Z,87,exp
88,88,8.99,"b'Rock Hill, South Carolina'",US,2016-11-24T03:40:16.000Z,88,exp
89,89,8.99,"b'Claudville, Virginia'",US,2016-11-24T03:43:17.000Z,89,exp
90,90,9,"b'Atascadero, California'",US,2016-11-26T03:00:01.000Z,90,exp
91,91,9.78,"b'Dayton, Ohio'",US,2016-11-24T03:46:38.000Z,91,exp
92,92,9.79,b'US',US,2016-11-24T03:44:58.000Z,92,exp
93,93,9.85,"b'Mount Dora, Florida'",US,2016-11-24T03:50:10.000Z,93,exp
94,94,9.9,"b'Montclair, California'",US,2016-11-24T03:49:38.000Z,94,exp
95,95,9.95,"b'The Finger Lakes, NY'",US,2016-11-24T03:38:53.000Z,95,exp
96,96,9.95,"b'Lakewood, New York'",US,2016-11-24T03:43:11.000Z,96,exp
97,97,9.95,"b'Lakewood, New York'",US,2016-11-24T03:47:05.000Z,97,exp
98,98,9.99,"b'Los Fresnos, Texas'",US,2016-11-25T04:03:15.000Z,98,exp
99,99,9.99,"b'Rochester, New York'",US,2016-11-24T03:59:50.000Z,99,exp
100,100,9.99,"b'Tucson, Arizona'",US,2016-11-24T04:01:12.000Z,100,exp
101,101,9.99,"b'Springfield, Ohio'",US,2016-11-24T04:04:43.000Z,101,exp
102,102,9.99,"b'New Britain, Connecticut'",US,2016-11-24T04:06:53.000Z,102,exp
103,103,9.99,"b'Los Fresnos, Texas'",US,2016-11-25T04:07:03.000Z,103,exp
104,104,9.99,"b'Ridge, New York'",US,2016-11-24T04:09:38.000Z,104,exp
105,105,9.99,"b'Los Fresnos, Texas'",US,2016-11-25T03:38:07.000Z,105,exp
106,106,9.99,"b'Mesa, Arizona'",US,2016-11-24T03:41:37.000Z,106,exp
107,107,9.99,"b'Lexington, Kentucky'",US,2016-11-24T03:43:21.000Z,107,exp
108,108,9.99,"b'Mesa, Arizona'",US,2016-11-24T03:45:25.000Z,108,exp
109,109,9.99,"b'Ellsworth, Maine'",US,2016-11-24T03:45:45.000Z,109,exp
110,110,9.99,"b'Washington,DC'",US,2016-11-24T03:53:45.000Z,110,exp
111,111,9.99,"b'Los Fresnos, Texas'",US,2016-11-25T03:46:19.000Z,111,exp
112,112,10,"b'Hyndman, Pennsylvania'",US,2016-11-24T03:56:44.000Z,112,exp
113,113,10,"b'Hyndman, Pennsylvania'",US,2016-11-24T03:58:02.000Z,113,exp
114,114,10,"b'Madison, Wisconsin'",US,2016-11-24T04:02:52.000Z,114,exp
115,115,10,"b'Bettendorf, Iowa'",US,2016-11-24T03:40:52.000Z,115,exp
116,116,10,"b'Fresno, California'",US,2016-11-24T03:46:22.000Z,116,exp
117,117,10.9,"b'Knoxville, Tennessee'",US,2016-11-24T03:38:15.000Z,117,exp
118,118,10.95,"b'Mount Dora, Florida'",US,2016-11-24T03:50:10.000Z,118,exp
119,119,10.95,"b'Mount Dora, Florida'",US,2016-11-24T03:50:11.000Z,119,exp
120,120,10.99,"b'Quincy, Florida'",US,2016-11-24T04:00:31.000Z,120,exp
121,121,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:02.000Z,121,exp
122,122,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:03.000Z,122,exp
123,123,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:03.000Z,123,exp
124,124,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:04.000Z,124,exp
125,125,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:04.000Z,125,exp
126,126,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:04.000Z,126,exp
127,127,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:58:04.000Z,127,exp
128,128,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T04:00:26.000Z,128,exp
129,129,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T04:00:26.000Z,129,exp
130,130,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T04:00:26.000Z,130,exp
131,131,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:55.000Z,131,exp
132,132,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:55.000Z,132,exp
133,133,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:55.000Z,133,exp
134,134,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:56.000Z,134,exp
135,135,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:56.000Z,135,exp
136,136,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:57.000Z,136,exp
137,137,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:57.000Z,137,exp
138,138,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:57.000Z,138,exp
139,139,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:57.000Z,139,exp
140,140,11.95,"b'Wappingers Falls, New York'",US,2016-11-24T03:54:57.000Z,140,exp
141,141,11.99,"b'Walnut, California'",US,2016-11-24T03:47:28.000Z,141,exp
142,142,12,"b'Yukon, Oklahoma'",US,2016-11-24T04:01:46.000Z,142,exp
143,143,12,"b'Santa Monica, California'",US,2016-11-24T03:50:20.000Z,143,exp
144,144,12.06,"b'New York, New York'",US,2016-11-24T03:55:01.000Z,144,exp
145,145,12.5,"b'Vine Grove, Kentucky'",US,2016-11-24T03:40:38.000Z,145,exp
146,146,12.5,"b'Vine Grove, Kentucky'",US,2016-11-24T03:42:00.000Z,146,exp
147,147,12.6,"b'Lemon Grove, California'",US,2016-11-24T04:10:04.000Z,147,exp
148,148,12.95,"b'Brick, New Jersey'",US,2016-11-24T04:01:20.000Z,148,exp
149,149,12.95,"b'The Finger Lakes, NY'",US,2016-11-24T03:47:33.000Z,149,exp
150,150,12.99,"b'Sayreville, New Jersey'",US,2016-11-24T04:01:58.000Z,150,exp
151,151,12.99,b'55304',US,2016-11-24T03:41:49.000Z,151,exp
152,152,13,"b'Niagara Falls, New York'",US,2016-11-24T04:09:02.000Z,152,exp
153,153,13.35,"b'Trenton, New Jersey'",US,2016-11-24T03:47:42.000Z,153,exp
154,154,13.38,"b'Washington,DC'",US,2016-11-24T04:04:09.000Z,154,exp
155,155,13.99,"b'San Diego, California'",US,2016-11-24T04:00:39.000Z,155,exp
156,156,13.99,"b'San Diego, California'",US,2016-11-24T04:00:28.000Z,156,exp
157,157,13.99,"b'San Diego, California'",US,2016-11-24T04:00:47.000Z,157,exp
158,158,13.99,"b'San Diego, California'",US,2016-11-24T04:00:54.000Z,158,exp
159,159,14,"b'Klamath Falls, Oregon'",US,2016-11-24T03:37:34.000Z,159,exp
160,160,14.26,"b'Sedalia, Missouri'",US,2016-11-24T03:38:56.000Z,160,exp
161,161,14.95,"b'McCaysville, Georgia'",US,2016-11-24T03:59:20.000Z,161,exp
162,162,14.95,"b'Providence, Rhode Island'",US,2016-11-24T03:47:36.000Z,162,exp
163,163,14.95,"b'Schaumburg, Illinois'",US,2016-11-24T03:48:57.000Z,163,exp
164,164,14.95,"b'Brick, New Jersey'",US,2016-11-24T03:50:34.000Z,164,exp
165,165,14.95,"b'Brick, New Jersey'",US,2016-11-24T03:52:58.000Z,165,exp
166,166,14.95,"b'Dwight, Illinois'",US,2016-11-24T03:53:04.000Z,166,exp
167,167,14.95,"b'Brick, New Jersey'",US,2016-11-24T03:55:39.000Z,167,exp
168,168,14.98,b'United States',US,2016-11-24T03:55:30.000Z,168,exp
169,169,14.99,"b'Montclair, California'",US,2016-11-24T03:57:35.000Z,169,exp
170,170,14.99,"b'Rome, New York'",US,2016-11-24T04:01:55.000Z,170,exp
171,171,14.99,"b'Woodbridge, Virginia'",US,2016-11-24T04:04:06.000Z,171,exp
172,172,14.99,"b'Colfax, California'",US,2016-11-24T04:06:21.000Z,172,exp
173,173,14.99,"b'Nashville, Tennessee'",US,2016-11-24T04:07:39.000Z,173,exp
174,174,14.99,"b'Leawood, Kansas'",US,2016-11-24T03:47:48.000Z,174,exp
175,175,14.99,"b'Twinsburg, Ohio'",US,2016-11-24T03:51:49.000Z,175,exp
176,176,14.99,"b'Saint Louis, Missouri'",US,2016-11-24T03:52:12.000Z,176,exp
177,177,15,"b'Surprise, Arizona'",US,2016-11-24T12:00:07.000Z,177,exp
178,178,15,"b'Sugar Land, Texas'",US,2016-11-24T03:45:03.000Z,178,exp
179,179,15.2,"b'Bellingham, Washington'",US,2016-11-24T04:06:38.000Z,179,exp
180,180,15.88,b'CA',US,2016-11-24T03:45:18.000Z,180,exp
181,181,15.9,"b'Wichita, Kansas'",US,2016-11-24T04:07:45.000Z,181,exp
182,182,15.99,"b'Hebron, Maryland'",US,2016-11-24T03:41:36.000Z,182,exp
183,183,16.19,b'CA/KY',US,2016-11-24T03:39:51.000Z,183,exp
184,184,16.95,"b'Winlock, Washington'",US,2016-11-24T04:03:46.000Z,184,exp
185,185,16.95,"b'Pompano Beach, Florida'",US,2016-11-24T03:48:54.000Z,185,exp
186,186,16.95,"b'Pompano Beach, Florida'",US,2016-11-24T03:49:31.000Z,186,exp
187,187,16.98,"b'Sierra Vista, Arizona'",US,2016-11-24T03:49:33.000Z,187,exp
188,188,16.99,"b'New York, New York'",US,2016-11-24T03:46:51.000Z,188,exp
189,189,17,"b'Portland, Oregon'",US,2016-11-24T03:39:23.000Z,189,exp
190,190,17.95,"b'Dwight, Illinois'",US,2016-11-24T04:00:48.000Z,190,exp
191,191,17.95,"b'Olympia, Washington'",US,2016-11-24T04:05:55.000Z,191,exp
192,192,17.95,"b'The Finger Lakes, NY'",US,2016-11-24T03:43:57.000Z,192,exp
193,193,18.28,"b'Indianapolis, Indiana'",US,2016-11-24T04:02:50.000Z,193,exp
194,194,18.49,"b'Marietta, Georgia'",US,2016-11-24T03:57:45.000Z,194,exp
195,195,18.59,"b'Hamilton, Ohio'",US,2016-11-24T04:02:36.000Z,195,exp
196,196,18.95,"b'Wichita, Kansas'",US,2016-11-24T03:44:01.000Z,196,exp
197,197,18.99,"b'Xenia, Illinois'",US,2016-11-24T03:58:20.000Z,197,exp
198,198,18.99,"b'Boise, Idaho'",US,2016-11-24T03:59:06.000Z,198,exp
199,199,19,"b'Downingtown, Pennsylvania'",US,2016-11-24T03:39:53.000Z,199,exp
200,200,19,"b'Baton Rouge, Louisiana'",US,2016-11-24T03:39:56.000Z,200,exp
201,201,19,"b'Greer, South Carolina'",US,2016-11-24T03:40:13.000Z,201,exp
202,202,19.39,"b'Hamilton, Ohio'",US,2016-11-24T03:58:54.000Z,202,exp
203,203,19.39,b'CA',US,2016-11-24T03:44:43.000Z,203,exp
204,204,19.49,"b'Washington,DC'",US,2016-11-24T03:55:56.000Z,204,exp
205,205,19.95,"b'Providence, Rhode Island'",US,2016-11-24T03:46:33.000Z,205,exp
206,206,19.99,"b'Henrico, Virginia'",US,2016-11-24T03:38:14.000Z,206,exp
207,207,19.99,"b'Corinth, Mississippi'",US,2016-11-24T22:55:50.000Z,207,exp
208,208,19.99,"b'Brooklyn, New York'",US,2016-11-24T03:42:26.000Z,208,exp
209,209,19.99,"b'Dewitt, Michigan'",US,2016-11-24T03:43:16.000Z,209,exp
210,210,19.99,b'55304',US,2016-11-24T03:48:46.000Z,210,exp
211,211,19.99,"b'Saint Louis, Missouri'",US,2016-11-24T03:49:07.000Z,211,exp
212,212,20,"b'Colfax, California'",US,2016-11-24T04:06:21.000Z,212,exp
213,213,20,"b'Lemon Grove, California'",US,2016-11-24T03:43:42.000Z,213,exp
214,214,20,"b'Lemon Grove, California'",US,2016-11-24T03:43:42.000Z,214,exp
215,215,20,"b'Lemon Grove, California'",US,2016-11-24T03:43:42.000Z,215,exp
216,216,20,"b'Lemon Grove, California'",US,2016-11-24T03:43:43.000Z,216,exp
217,217,20,"b'Mission Hills, California'",US,2016-11-24T03:53:56.000Z,217,exp
218,218,20.16,"b'Henderson, Nevada'",US,2016-11-24T04:09:21.000Z,218,exp
219,219,21.74,b'US',US,2016-11-24T03:39:01.000Z,219,exp
220,220,21.95,"b'Irmo, South Carolina'",US,2016-11-24T04:04:30.000Z,220,exp
221,221,21.99,"b'Orlando, Florida'",US,2016-11-24T03:59:24.000Z,221,exp
222,222,21.99,"b'Manvel, Texas'",US,2016-11-24T04:07:34.000Z,222,exp
223,223,21.99,"b'Dallas, Texas'",US,2016-11-24T03:52:19.000Z,223,exp
224,224,22,"b'Downingtown, Pennsylvania'",US,2016-11-24T03:39:54.000Z,224,exp
225,225,22,"b'Greer, South Carolina'",US,2016-11-24T03:43:59.000Z,225,exp
226,226,22,"b'Saint Robert, Missouri'",US,2016-11-24T03:50:23.000Z,226,exp
227,227,22.21,"b'Indianapolis, Indiana'",US,2016-11-24T03:40:59.000Z,227,exp
228,228,22.49,b'US',US,2016-11-24T03:52:33.000Z,228,exp
229,229,22.5,"b'Hastings, Nebraska'",US,2016-11-24T03:45:33.000Z,229,exp
230,230,22.8,"b'West Warwick, Rhode Island'",US,2016-11-24T03:53:11.000Z,230,exp
231,231,22.95,"b'El Paso, Texas'",US,2016-11-24T04:00:41.000Z,231,exp
232,232,23,"b'Brooklyn, New York'",US,2016-11-24T04:06:54.000Z,232,exp
233,233,23.49,"b'Duquesne, Pennsylvania'",US,2016-11-24T03:59:38.000Z,233,exp
234,234,23.64,b'US',US,2016-11-24T04:02:04.000Z,234,exp
235,235,23.69,"b'Marlboro, New York'",US,2016-11-24T04:04:53.000Z,235,exp
236,236,23.99,b'San Francisco',US,2016-11-24T03:57:44.000Z,236,exp
237,237,24,"b'Downingtown, Pennsylvania'",US,2016-11-24T03:39:54.000Z,237,exp
238,238,24,"b'Columbus, Ohio'",US,2016-11-24T03:43:15.000Z,238,exp
239,239,24,"b'Reading, Pennsylvania'",US,2016-11-24T03:54:29.000Z,239,exp
240,240,24.5,"b'Santa Rosa, California'",US,2016-11-24T04:07:59.000Z,240,exp
241,241,24.75,b'USA',US,2016-11-24T03:40:21.000Z,241,exp
242,242,24.95,"b'Louisville, Kentucky'",US,2016-11-24T03:37:33.000Z,242,exp
243,243,24.99,"b'Ardmore, Oklahoma'",US,2016-11-24T03:59:07.000Z,243,exp
244,244,24.99,"b'Concordia, Kansas'",US,2016-11-24T03:47:41.000Z,244,exp
245,245,24.99,"b'Ardmore, Oklahoma'",US,2016-11-24T03:53:39.000Z,245,exp
246,246,24.99,"b'Dallas, Texas'",US,2016-11-24T03:54:38.000Z,246,exp
247,247,25.15,b'US',US,2016-11-24T04:01:52.000Z,247,exp
248,248,25.79,"b'Barnegat, New Jersey'",US,2016-11-24T04:07:43.000Z,248,exp
249,249,25.99,"b'Saint Louis, Missouri'",US,2016-11-24T03:40:56.000Z,249,exp
250,250,25.99,"b'Forest, Virginia'",US,2016-11-24T03:50:08.000Z,250,exp
251,251,26.05,"b'Durham, North Carolina'",US,2016-11-24T03:52:43.000Z,251,exp
252,252,26.39,"b'Saint Louis, Missouri'",US,2016-11-24T04:01:26.000Z,252,exp
253,253,26.49,"b'Rosemead, California'",US,2016-11-24T03:51:23.000Z,253,exp
254,254,26.98,b'US',US,2016-11-24T03:39:05.000Z,254,exp
255,255,26.99,"b'Pompano Beach, Florida'",US,2016-11-24T03:55:32.000Z,255,exp
256,256,26.99,"b'Pompano Beach, Florida'",US,2016-11-24T03:55:56.000Z,256,exp
257,257,26.99,"b'Pompano Beach, Florida'",US,2016-11-24T03:56:11.000Z,257,exp
258,258,27,"b'Hinckley, Ohio'",US,2016-11-24T03:51:53.000Z,258,exp
259,259,27,"b'Hinckley, Ohio'",US,2016-11-24T03:52:13.000Z,259,exp
260,260,27,"b'Hinckley, Ohio'",US,2016-11-24T03:53:15.000Z,260,exp
261,261,27,"b'Hinckley, Ohio'",US,2016-11-24T03:53:48.000Z,261,exp
262,262,28,"b'Paris, Tennessee'",US,2016-11-24T04:05:43.000Z,262,exp
263,263,28,"b'Downingtown, Pennsylvania'",US,2016-11-24T03:39:53.000Z,263,exp
264,264,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:56:51.000Z,264,exp
265,265,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:57:13.000Z,265,exp
266,266,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:58:14.000Z,266,exp
267,267,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:58:44.000Z,267,exp
268,268,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:59:25.000Z,268,exp
269,269,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:59:38.000Z,269,exp
270,270,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:59:50.000Z,270,exp
271,271,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:00:21.000Z,271,exp
272,272,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:01:00.000Z,272,exp
273,273,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:01:11.000Z,273,exp
274,274,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:02:25.000Z,274,exp
275,275,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:02:45.000Z,275,exp
276,276,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:02:57.000Z,276,exp
277,277,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:03:30.000Z,277,exp
278,278,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:03:42.000Z,278,exp
279,279,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:03:53.000Z,279,exp
280,280,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:04:39.000Z,280,exp
281,281,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:05:11.000Z,281,exp
282,282,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:05:28.000Z,282,exp
283,283,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:06:21.000Z,283,exp
284,284,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:06:52.000Z,284,exp
285,285,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:07:37.000Z,285,exp
286,286,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:08:03.000Z,286,exp
287,287,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:08:26.000Z,287,exp
288,288,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:09:35.000Z,288,exp
289,289,28.19,"b'Hinckley, Ohio'",US,2016-11-24T04:09:54.000Z,289,exp
290,290,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:39:37.000Z,290,exp
291,291,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:48:31.000Z,291,exp
292,292,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:49:23.000Z,292,exp
293,293,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:49:44.000Z,293,exp
294,294,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:50:25.000Z,294,exp
295,295,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:50:34.000Z,295,exp
296,296,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:54:07.000Z,296,exp
297,297,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:54:16.000Z,297,exp
298,298,28.19,"b'Hinckley, Ohio'",US,2016-11-24T03:56:34.000Z,298,exp
299,299,28.95,"b'Moundsville, West Virginia'",US,2016-11-24T03:48:20.000Z,299,exp
300,300,28.99,"b'Woodstock, Georgia'",US,2016-11-24T03:38:11.000Z,300,exp
301,301,29,"b'Hinckley, Ohio'",US,2016-11-24T03:37:53.000Z,301,exp
302,302,29,"b'Hinckley, Ohio'",US,2016-11-24T03:38:28.000Z,302,exp
303,303,29,"b'South Lyon, Michigan'",US,2016-11-24T03:55:35.000Z,303,exp
