<<<<<<< HEAD
account,amount,location,date,tid,transaction_type
221,38.85,NC,2017-08-04,221,exp
222,11.01,NY,2017-08-04,222,pay
223,38.85,GA,2017-08-04,223,exp
224,38.85,MI,2017-08-04,224,pay
225,38.85,CA,2017-08-04,225,exp
226,12.95,MD,2017-08-04,226,pay
227,12.95,MD,2017-08-04,227,exp
228,38.85,NH,2017-08-04,228,pay
229,12.95,MD,2017-08-04,229,exp
230,38.85,SD,2017-08-04,230,pay
231,38.85,GA,2017-08-04,231,exp
232,12.95,IL,2017-08-04,232,pay
233,38.85,TX,2017-08-04,233,exp
234,12.95,AL,2017-08-04,234,pay
235,38.85,CA,2017-08-04,235,exp
236,25.9,VA,2017-08-04,236,pay
237,12.95,NY,2017-08-04,237,exp
238,12.95,NY,2017-08-04,238,pay
239,59.95,NY,2017-08-04,239,exp
240,12.95,NV,2017-08-04,240,pay
241,12.95,FL,2017-08-04,241,exp
242,38.85,WY,2017-08-04,242,pay
243,12.95,CA,2017-08-04,243,exp
244,12.95,VA,2017-08-04,244,pay
245,25.9,GA,2017-08-04,245,exp
246,38.85,NC,2017-08-04,246,pay
247,12.95,NC,2017-08-04,247,exp
248,12.95,NC,2017-08-04,248,pay
249,12.95,FL,2017-08-04,249,exp
250,38.85,TX,2017-08-04,250,pay
251,12.95,OH,2017-08-04,251,exp
252,38.85,CA,2017-08-04,252,pay
253,12.95,CA,2017-08-04,253,exp
254,12.95,FL,2017-08-04,254,pay
255,38.85,WA,2017-08-04,255,exp
256,38.85,FL,2017-08-04,256,pay
257,12.95,CA,2017-08-04,257,exp
258,12.95,CA,2017-08-04,258,pay
259,12.95,GA,2017-08-04,259,exp
260,38.85,FL,2017-08-04,260,pay
261,38.85,CA,2017-08-04,261,exp
262,12.95,IL,2017-08-04,262,pay
263,38.85,MN,2017-08-04,263,exp
264,38.85,GA,2017-08-04,264,pay
265,12.95,GA,2017-08-04,265,exp
266,12.95,CA,2017-08-04,266,pay
267,12.95,GA,2017-08-04,267,exp
268,38.85,CA,2017-08-04,268,pay
269,12.95,ID,2017-08-04,269,exp
270,12.95,GA,2017-08-04,270,pay
271,12.95,CA,2017-08-04,271,exp
272,38.85,FL,2017-08-04,272,pay
273,49.95,MD,2017-08-04,273,exp
274,11.01,AZ,2017-08-04,274,pay
275,12.95,OR,2017-08-04,275,exp
276,12.95,GA,2017-08-04,276,pay
277,12.95,CA,2017-08-04,277,exp
278,25.9,FL,2017-08-04,278,pay
279,59.95,MD,2017-08-04,279,exp
280,25.9,VA,2017-08-04,280,pay
281,12.95,CO,2017-08-04,281,exp
282,38.85,IN,2017-08-04,282,pay
283,38.85,MA,2017-08-04,283,exp
284,12.95,GA,2017-08-04,284,pay
285,12.95,MI,2017-08-04,285,exp
286,12.95,NC,2017-08-04,286,pay
287,12.95,AZ,2017-08-04,287,exp
288,12.95,TN,2017-08-04,288,pay
289,12.95,TN,2017-08-04,289,exp
290,12.95,OH,2017-08-04,290,pay
291,12.95,GA,2017-08-04,291,exp
292,12.95,GA,2017-08-04,292,pay
293,12.95,CA,2017-08-04,293,exp
294,12.95,OH,2017-08-04,294,pay
295,12.95,KS,2017-08-04,295,exp
296,38.85,MN,2017-08-04,296,pay
297,38.85,MN,2017-08-04,297,exp
298,12.95,MN,2017-08-04,298,pay
299,38.85,NJ,2017-08-04,299,exp
300,12.95,PA,2017-08-04,300,pay
301,12.95,OH,2017-08-04,301,exp
302,12.95,TX,2017-08-04,302,pay
303,12.95,MA,2017-08-04,303,exp
304,12.95,CA,2017-08-04,304,pay
305,12.95,PA,2017-08-04,305,exp
306,12.95,FL,2017-08-04,306,pay
307,38.85,CA,2017-08-04,307,exp
308,12.95,GA,2017-08-04,308,pay
309,12.95,TX,2017-08-04,309,exp
310,12.95,TX,2017-08-04,310,pay
311,38.85,FL,2017-08-04,311,exp
312,38.85,IN,2017-08-04,312,pay
313,12.95,PA,2017-08-04,313,exp
314,12.95,PA,2017-08-04,314,pay
315,12.95,PA,2017-08-04,315,exp
316,25.9,TX,2017-08-04,316,pay
317,12.95,CA,2017-08-04,317,exp
318,38.85,TN,2017-08-04,318,pay
319,38.85,TX,2017-08-04,319,exp
320,25.9,GA,2017-08-04,320,pay
321,12.95,GA,2017-08-04,321,exp
322,12.95,MA,2017-08-04,322,pay
323,38.85,MO,2017-08-04,323,exp
324,12.95,WA,2017-08-04,324,pay
325,38.85,IN,2017-08-04,325,exp
326,38.85,PA,2017-08-04,326,pay
327,12.95,AL,2017-08-04,327,exp
328,38.85,FL,2017-08-04,328,pay
329,12.95,NY,2017-08-04,329,exp
330,12.95,TX,2017-08-04,330,pay
331,38.85,MO,2017-08-04,331,exp
332,38.85,CA,2017-08-04,332,pay
333,12.95,DE,2017-08-04,333,exp
334,12.95,TX,2017-08-04,334,pay
335,38.85,TX,2017-08-04,335,exp
336,12.95,CA,2017-08-04,336,pay
337,38.85,GA,2017-08-04,337,exp
338,12.95,GA,2017-08-04,338,pay
339,25.9,CA,2017-08-04,339,exp
340,12.95,OH,2017-08-04,340,pay
341,38.85,AZ,2017-08-04,341,exp
342,38.85,DE,2017-08-04,342,pay
343,38.85,NY,2017-08-04,343,exp
344,25.9,CA,2017-08-04,344,pay
345,12.95,CA,2017-08-04,345,exp
346,38.85,FL,2017-08-04,346,pay
347,38.85,CA,2017-08-04,347,exp
348,12.95,NY,2017-08-04,348,pay
349,38.85,CO,2017-08-04,349,exp
350,38.85,CA,2017-08-04,350,pay
351,12.95,NC,2017-08-04,351,exp
352,38.85,CA,2017-08-04,352,pay
353,12.95,MA,2017-08-04,353,exp
354,12.95,AL,2017-08-04,354,pay
355,12.95,CO,2017-08-04,355,exp
356,38.85,CT,2017-08-04,356,pay
357,9.99,TX,2017-08-04,357,exp
358,38.85,AZ,2017-08-04,358,pay
359,38.85,ME,2017-08-04,359,exp
360,38.85,NC,2017-08-04,360,pay
361,38.85,MS,2017-08-04,361,exp
362,12.95,TX,2017-08-04,362,pay
363,12.95,AL,2017-08-04,363,exp
364,59.95,NH,2017-08-04,364,pay
365,38.85,CA,2017-08-04,365,exp
366,38.85,GA,2017-08-04,366,pay
367,59.95,GA,2017-08-04,367,exp
368,12.95,TX,2017-08-04,368,pay
369,12.95,CA,2017-08-04,369,exp
370,38.85,MD,2017-08-04,370,pay
371,49.95,FL,2017-08-04,371,exp
372,25.9,CT,2017-08-04,372,pay
373,12.95,FL,2017-08-04,373,exp
374,25.9,FL,2017-08-04,374,pay
375,12.95,TX,2017-08-04,375,exp
376,38.85,TX,2017-08-04,376,pay
377,12.95,MA,2017-08-04,377,exp
378,25.9,MI,2017-08-04,378,pay
379,12.95,FL,2017-08-04,379,exp
380,12.95,IL,2017-08-04,380,pay
381,12.95,CA,2017-08-04,381,exp
382,38.85,NY,2017-08-04,382,pay
383,38.85,IN,2017-08-04,383,exp
384,12.95,NY,2017-08-04,384,pay
385,12.95,OH,2017-08-04,385,exp
386,59.95,TX,2017-08-04,386,pay
387,12.95,SC,2017-08-04,387,exp
388,25.9,AZ,2017-08-04,388,pay
389,12.95,AZ,2017-08-04,389,exp
390,38.85,NC,2017-08-04,390,pay
391,38.85,GA,2017-08-04,391,exp
392,38.85,FL,2017-08-04,392,pay
393,38.85,AK,2017-08-04,393,exp
394,12.95,MD,2017-08-04,394,pay
395,38.85,MO,2017-08-04,395,exp
396,25.9,FL,2017-08-04,396,pay
397,12.95,SC,2017-08-04,397,exp
398,12.95,NC,2017-08-04,398,pay
399,12.95,NC,2017-08-04,399,exp
400,12.95,MD,2017-08-04,400,pay
401,12.95,CA,2017-08-04,401,exp
402,12.95,CA,2017-08-04,402,pay
403,12.95,CA,2017-08-04,403,exp
404,12.95,MI,2017-08-04,404,pay
405,12.95,AK,2017-08-04,405,exp
406,38.85,NY,2017-08-04,406,pay
407,38.85,SC,2017-08-04,407,exp
408,38.85,CA,2017-08-04,408,pay
409,12.95,PA,2017-08-04,409,exp
410,25.9,NC,2017-08-04,410,pay
411,38.85,IL,2017-08-04,411,exp
412,38.85,GA,2017-08-04,412,pay
413,38.85,IN,2017-08-04,413,exp
414,59.95,CO,2017-08-04,414,pay
415,38.85,VA,2017-08-04,415,exp
416,38.85,GA,2017-08-04,416,pay
417,38.85,AL,2017-08-04,417,exp
418,38.85,CA,2017-08-04,418,pay
419,12.95,CA,2017-08-04,419,exp
420,10.36,NY,2017-08-04,420,pay
421,31.08,AZ,2017-08-04,421,exp
422,12.95,NY,2017-08-04,422,pay
423,34.95,FL,2017-08-04,423,exp
424,31.08,WA,2017-08-04,424,pay
425,38.85,OR,2017-08-04,425,exp
426,12.95,MD,2017-08-04,426,pay
427,12.95,MI,2017-08-04,427,exp
428,9.99,IL,2017-08-04,428,pay
429,38.85,OH,2017-08-04,429,exp
430,38.85,CA,2017-08-04,430,pay
431,12.95,GA,2017-08-04,431,exp
432,12.95,CA,2017-08-04,432,pay
433,12.95,CA,2017-08-04,433,exp
434,33.03,PA,2017-08-04,434,pay
435,12.95,FL,2017-08-04,435,exp
436,38.85,WA,2017-08-04,436,pay
437,12.95,WA,2017-08-04,437,exp
438,12.95,CA,2017-08-04,438,pay
439,12.95,CA,2017-08-04,439,exp
440,10.36,IA,2017-08-04,440,pay
441,12.95,KS,2017-08-04,441,exp
442,38.85,TN,2017-08-04,442,pay
443,38.85,NY,2017-08-04,443,exp
444,12.95,NC,2017-08-04,444,pay
445,12.95,AZ,2017-08-04,445,exp
446,38.85,AL,2017-08-04,446,pay
447,38.85,FL,2017-08-04,447,exp
448,38.85,NY,2017-08-04,448,pay
449,38.85,CA,2017-08-04,449,exp
450,31.08,CA,2017-08-04,450,pay
451,38.85,IA,2017-08-04,451,exp
452,49.95,OH,2017-08-04,452,pay
453,12.95,NY,2017-08-04,453,exp
454,38.85,CA,2017-08-04,454,pay
455,38.85,OH,2017-08-04,455,exp
456,38.85,OR,2017-08-04,456,pay
457,38.85,TX,2017-08-04,457,exp
458,12.95,OR,2017-08-04,458,pay
459,49.95,CA,2017-08-04,459,exp
460,38.85,CA,2017-08-04,460,pay
461,12.95,CA,2017-08-04,461,exp
462,12.95,IN,2017-08-04,462,pay
463,25.9,MT,2017-08-04,463,exp
464,12.95,MD,2017-08-04,464,pay
465,12.95,NV,2017-08-04,465,exp
466,12.95,AL,2017-08-04,466,pay
467,12.95,MA,2017-08-04,467,exp
468,38.85,CA,2017-08-04,468,pay
469,38.85,NY,2017-08-04,469,exp
470,38.85,CA,2017-08-04,470,pay
471,29.97,CA,2017-08-04,471,exp
472,31.08,TN,2017-08-04,472,pay
473,38.85,GA,2017-08-04,473,exp
474,25.9,TX,2017-08-04,474,pay
475,38.85,TN,2017-08-04,475,exp
476,38.85,GA,2017-08-04,476,pay
477,12.95,FL,2017-08-04,477,exp
478,12.95,GA,2017-08-04,478,pay
479,12.95,NV,2017-08-04,479,exp
480,12.95,NV,2017-08-04,480,pay
481,12.95,GA,2017-08-04,481,exp
482,12.95,MA,2017-08-04,482,pay
483,29.97,CA,2017-08-04,483,exp
484,12.95,VA,2017-08-04,484,pay
485,12.95,CA,2017-08-04,485,exp
486,12.95,MD,2017-08-04,486,pay
487,12.95,LA,2017-08-04,487,exp
488,38.85,WA,2017-08-04,488,pay
489,12.95,GA,2017-08-04,489,exp
490,38.85,TX,2017-08-04,490,pay
491,25.9,FL,2017-08-04,491,exp
492,38.85,TX,2017-08-04,492,pay
493,12.95,OK,2017-08-04,493,exp
494,12.95,TX,2017-08-04,494,pay
495,11.65,TX,2017-08-04,495,exp
496,38.85,CA,2017-08-04,496,pay
497,19.98,CA,2017-08-04,497,exp
498,38.85,VA,2017-08-04,498,pay
499,38.85,CT,2017-08-04,499,exp
500,38.85,FL,2017-08-04,500,pay
501,38.85,GA,2017-08-04,501,exp
502,38.85,IL,2017-08-04,502,pay
503,38.85,IL,2017-08-04,503,exp
504,12.95,MD,2017-08-04,504,pay
505,25.9,OH,2017-08-04,505,exp
506,12.95,GA,2017-08-04,506,pay
507,35.89,CA,2017-08-04,507,exp
508,38.85,VA,2017-08-04,508,pay
509,12.95,MD,2017-08-04,509,exp
510,12.95,MD,2017-08-04,510,pay
511,11.65,CA,2017-08-04,511,exp
512,38.85,CA,2017-08-04,512,pay
513,38.85,AL,2017-08-04,513,exp
514,38.85,AZ,2017-08-04,514,pay
515,38.85,TX,2017-08-04,515,exp
516,12.95,CA,2017-08-04,516,pay
517,12.95,PA,2017-08-04,517,exp
518,12.95,GA,2017-08-04,518,pay
519,12.95,CA,2017-08-04,519,exp
520,12.95,MN,2017-08-04,520,pay
521,38.85,CA,2017-08-04,521,exp
522,38.85,NJ,2017-08-04,522,pay
523,25.9,NJ,2017-08-04,523,exp
524,12.95,FL,2017-08-04,524,pay
525,23.3,CA,2017-08-04,525,exp
526,25.9,CA,2017-08-04,526,pay
527,38.85,AK,2017-08-04,527,exp
528,38.85,TN,2017-08-04,528,pay
529,38.85,GA,2017-08-04,529,exp
530,33.03,MA,2017-08-04,530,pay
531,38.85,IN,2017-08-04,531,exp
532,12.95,LA,2017-08-04,532,pay
533,29.97,IL,2017-08-04,533,exp
534,23.3,IN,2017-08-04,534,pay
535,34.95,IN,2017-08-04,535,exp
536,12.95,CA,2017-08-04,536,pay
537,12.95,FL,2017-08-04,537,exp
538,25.9,NJ,2017-08-04,538,pay
539,38.85,CA,2017-08-04,539,exp
540,12.95,NM,2017-08-04,540,pay
541,38.85,SC,2017-08-04,541,exp
542,38.85,CA,2017-08-04,542,pay
543,38.85,GA,2017-08-04,543,exp
544,12.95,FL,2017-08-04,544,pay
545,38.85,CA,2017-08-04,545,exp
546,12.95,NC,2017-08-04,546,pay
547,12.95,CA,2017-08-04,547,exp
548,12.95,PA,2017-08-04,548,pay
549,12.95,VA,2017-08-04,549,exp
550,12.95,CA,2017-08-04,550,pay
551,38.85,HI,2017-08-04,551,exp
552,12.95,FL,2017-08-04,552,pay
553,38.85,TX,2017-08-04,553,exp
554,12.95,NC,2017-08-04,554,pay
555,12.95,MO,2017-08-04,555,exp
556,38.85,CA,2017-08-04,556,pay
557,31.08,MD,2017-08-04,557,exp
558,11.01,MI,2017-08-04,558,pay
559,25.9,NY,2017-08-04,559,exp
560,12.95,VA,2017-08-04,560,pay
561,38.85,IL,2017-08-04,561,exp
562,38.85,GA,2017-08-04,562,pay
563,38.85,CA,2017-08-04,563,exp
564,38.85,CA,2017-08-04,564,pay
565,38.85,IL,2017-08-04,565,exp
566,38.85,IL,2017-08-04,566,pay
567,38.85,FL,2017-08-04,567,exp
568,38.85,CA,2017-08-04,568,pay
569,12.95,AZ,2017-08-04,569,exp
570,38.85,GA,2017-08-04,570,pay
571,38.85,PA,2017-08-04,571,exp
572,49.95,OR,2017-08-04,572,pay
573,12.95,CA,2017-08-04,573,exp
574,25.9,GA,2017-08-04,574,pay
575,12.95,GA,2017-08-04,575,exp
576,12.95,SC,2017-08-04,576,pay
577,12.95,TX,2017-08-04,577,exp
578,49.95,OR,2017-08-04,578,pay
579,49.95,CA,2017-08-04,579,exp
580,12.95,DC,2017-08-04,580,pay
581,31.08,TX,2017-08-04,581,exp
582,89.95,MD,2017-08-04,582,pay
583,12.95,TX,2017-08-04,583,exp
584,49.95,OR,2017-08-04,584,pay
585,38.85,CA,2017-08-04,585,exp
586,12.95,NY,2017-08-04,586,pay
587,38.85,CA,2017-08-04,587,exp
588,11.65,FL,2017-08-04,588,pay
589,38.85,KY,2017-08-04,589,exp
590,38.85,NV,2017-08-04,590,pay
591,38.85,CO,2017-08-04,591,exp
592,12.95,GA,2017-08-04,592,pay
593,38.85,NC,2017-08-04,593,exp
594,12.95,KY,2017-08-04,594,pay
595,38.85,NC,2017-08-04,595,exp
596,38.85,FL,2017-08-04,596,pay
597,12.95,OH,2017-08-04,597,exp
598,12.95,OH,2017-08-04,598,pay
599,38.85,OH,2017-08-04,599,exp
600,9.99,MA,2017-08-04,600,pay
601,9.99,MA,2017-08-04,601,exp
602,9.99,MA,2017-08-04,602,pay
603,12.95,CA,2017-08-04,603,exp
604,25.9,MN,2017-08-04,604,pay
605,12.95,MN,2017-08-04,605,exp
606,38.85,MA,2017-08-04,606,pay
607,11.65,MD,2017-08-04,607,exp
608,38.85,OH,2017-08-04,608,pay
609,38.85,AL,2017-08-04,609,exp
610,38.85,SC,2017-08-04,610,pay
611,12.95,GA,2017-08-04,611,exp
612,12.95,MT,2017-08-04,612,pay
613,12.95,MT,2017-08-04,613,exp
614,38.85,VA,2017-08-04,614,pay
615,12.95,DE,2017-08-04,615,exp
616,12.95,TX,2017-08-04,616,pay
617,25.9,CA,2017-08-04,617,exp
618,12.95,NV,2017-08-04,618,pay
619,12.95,CO,2017-08-04,619,exp
620,12.95,CA,2017-08-04,620,pay
621,38.85,CA,2017-08-04,621,exp
622,38.85,FL,2017-08-04,622,pay
623,12.95,AZ,2017-08-04,623,exp
624,38.85,AZ,2017-08-04,624,pay
625,38.85,TN,2017-08-04,625,exp
626,34.95,FL,2017-08-04,626,pay
627,38.85,CA,2017-08-04,627,exp
628,38.85,FL,2017-08-04,628,pay
629,12.95,MD,2017-08-04,629,exp
630,38.85,AZ,2017-08-04,630,pay
631,11.01,IL,2017-08-04,631,exp
632,11.01,IL,2017-08-04,632,pay
633,38.85,IL,2017-08-04,633,exp
634,38.85,AZ,2017-08-04,634,pay
635,12.95,GA,2017-08-04,635,exp
636,38.85,TX,2017-08-04,636,pay
637,12.95,AZ,2017-08-04,637,exp
638,34.97,CA,2017-08-04,638,pay
639,38.85,MO,2017-08-04,639,exp
640,12.95,PA,2017-08-04,640,pay
641,12.95,TX,2017-08-04,641,exp
642,38.85,CA,2017-08-04,642,pay
643,38.85,CA,2017-08-04,643,exp
644,49.95,TX,2017-08-04,644,pay
645,12.95,AZ,2017-08-04,645,exp
646,38.85,CA,2017-08-04,646,pay
647,38.85,CA,2017-08-04,647,exp
648,38.85,VA,2017-08-04,648,pay
649,12.95,MN,2017-08-04,649,exp
650,12.95,FL,2017-08-04,650,pay
651,38.85,FL,2017-08-04,651,exp
652,12.95,OH,2017-08-04,652,pay
653,12.95,AZ,2017-08-04,653,exp
654,38.85,FL,2017-08-04,654,pay
655,12.95,GA,2017-08-04,655,exp
656,12.95,TX,2017-08-04,656,pay
657,12.95,GA,2017-08-04,657,exp
658,25.9,CA,2017-08-04,658,pay
659,12.95,MN,2017-08-04,659,exp
660,38.85,IL,2017-08-04,660,pay
661,12.95,CA,2017-08-04,661,exp
662,38.85,TX,2017-08-04,662,pay
