account,balance_limit,sex,education,marriage,age,total_bill,total_payment,repayment,default
52,100000,2,3,3,43,108639,4008,0,0
53,310000,2,2,1,49,15193,5174,-2,0
54,180000,2,1,2,25,133249,8500,0,0
55,150000,2,1,2,29,64100,2681,0,0
56,500000,2,1,1,45,2681,11679,-2,0
57,180000,2,3,1,34,14784,13430,-1,0
58,180000,2,2,1,34,430728,1200,0,0
59,200000,2,1,2,34,3280,47000,2,0
60,400000,2,2,1,29,1080944,5000,0,0
61,500000,2,3,1,28,44335,5000,0,1
62,70000,1,2,1,39,31444,3425,0,0
63,50000,1,1,2,29,81796,0,2,1
64,50000,2,2,1,46,0,2353,-2,1
65,130000,2,2,1,51,2353,1300,-2,0
66,200000,1,1,1,57,24290,560,-1,1
67,10000,1,2,1,56,12584,5459,0,1
68,210000,2,1,2,30,6830,21218,-1,0
69,130000,2,3,2,29,27791,1500,-1,0
70,20000,1,5,2,22,35272,1170,0,0
71,80000,1,1,2,31,1170,8800,-1,0
72,320000,1,2,2,29,184455,4577,2,1
73,200000,2,2,1,32,12246,2359,-1,0
74,290000,2,1,2,37,2359,108517,-1,0
75,340000,1,1,2,32,110264,2130,-1,0
76,20000,1,2,2,24,52851,2500,0,0
77,50000,1,3,2,25,29256,873,0,0
78,300000,2,1,1,45,873,4765,-1,0
79,30000,2,2,2,22,60861,0,0,1
80,240000,2,2,2,44,0,4960,-2,1
81,470000,2,3,3,33,129083,150059,0,0
82,360000,2,1,2,26,213296,1908,0,0
83,60000,1,3,2,30,61663,9000,0,1
84,400000,2,2,1,44,303478,2374,0,0
85,50000,2,3,2,49,59238,13800,0,0
86,160000,1,2,2,33,357243,1170,0,0
87,360000,2,1,1,45,1170,3069,0,1
88,160000,2,2,2,32,16442,10375,0,0
89,130000,2,1,1,35,9615,3500,-1,0
90,20000,1,3,2,44,34772,15500,0,0
91,200000,1,1,1,53,440753,0,2,1
92,280000,2,1,2,39,3868,0,0,0
93,100000,2,1,2,27,0,7736,-2,0
94,160000,2,2,1,37,840,2341,-1,0
95,60000,2,2,2,23,58127,3359,0,0
96,90000,1,2,2,35,97342,95978,0,0
97,360000,1,1,1,43,42777,6538,-1,0
98,150000,1,1,2,27,218288,799,0,0
99,50000,2,3,1,22,29915,1900,0,0
100,20000,1,2,1,38,36318,1530,0,1
101,140000,1,1,2,32,1945,7447,-2,0
102,380000,2,1,2,30,100511,42200,0,0
103,480000,1,1,1,63,1428172,2739,2,0
104,50000,2,3,2,22,80067,6006,0,1
105,60000,2,2,2,26,170970,28529,2,0
106,70000,2,2,2,24,26529,3335,-2,0
107,80000,2,2,1,36,5619,11424,-1,0
108,350000,1,1,2,52,7280,143203,-1,0
109,130000,1,2,2,38,291178,0,-1,0
110,360000,1,2,1,35,-309,19894,-2,0
111,330000,2,1,1,31,319676,3000,0,0
112,50000,1,3,1,47,49992,19850,0,0
113,280000,1,2,1,41,445990,10113,2,0
114,100000,2,1,2,24,175889,2126,0,0
115,50000,1,2,2,41,60542,2000,0,0
116,30000,1,1,2,24,63212,1328,0,1
117,240000,1,1,2,28,6478,3000,-1,0
118,80000,1,2,2,26,52870,28508,0,1
119,400000,1,2,1,34,30635,3073,-1,0
120,240000,2,2,2,38,54989,4200,0,0
121,50000,1,3,2,37,149312,0,3,1
122,450000,1,1,1,40,0,0,-2,1
123,110000,2,1,1,48,0,21419,-2,0
124,310000,2,2,1,35,703990,1174,0,1
125,20000,1,1,2,27,54725,0,0,0
126,20000,1,2,2,23,0,11301,-2,0
127,200000,1,3,2,52,309053,5359,0,0
128,180000,1,1,1,36,289446,2834,0,1
129,50000,1,2,1,51,18799,3800,0,1
130,60000,1,3,1,55,84910,22706,0,0
131,30000,2,1,2,23,19623,3021,-2,0
132,240000,1,1,2,41,5261,26409,0,0
133,420000,1,2,1,34,619665,24766,0,0
134,330000,1,3,1,46,683565,2060,0,0
135,30000,2,2,2,22,42173,1327,0,0
136,240000,1,2,1,34,41318,11500,2,0
137,150000,1,1,2,27,82043,3046,0,0
138,210000,2,2,1,33,19301,0,0,0
139,50000,2,3,1,51,0,3900,-1,1
140,50000,1,1,2,24,57800,0,0,0
141,240000,1,1,2,47,0,4832,-2,1
142,180000,1,2,2,28,1164,2100,-1,0
143,50000,1,2,2,23,57940,35846,2,0
144,170000,1,2,2,29,35829,5371,-2,0
145,20000,1,1,2,29,9381,2683,-1,0
146,50000,1,1,2,28,29957,540,0,0
147,170000,2,2,2,27,44578,18500,0,1
148,200000,1,1,2,34,327776,2471,0,0
149,80000,2,2,1,23,32055,1969,2,0
150,260000,2,1,1,60,1838,4702,-1,0
151,140000,1,2,1,32,178218,24000,0,0
152,80000,1,1,2,25,114864,0,0,0
153,350000,1,1,2,41,630,113321,-1,0
154,280000,2,2,1,56,448239,4500,0,0
155,30000,2,3,2,26,39225,13504,0,0
156,140000,1,1,1,34,138914,12060,0,0
157,200000,2,1,2,37,277474,15700,0,0
158,200000,2,3,2,30,436462,33234,0,0
159,210000,1,3,1,45,436915,1700,4,1
160,50000,1,3,1,57,41221,2450,0,0
161,30000,1,1,2,41,84068,1254,2,0
162,50000,1,2,2,27,1836,792,-1,0
163,290000,1,3,1,47,1611,16387,-1,0
164,250000,2,1,1,34,469020,4000,0,0
165,60000,2,2,1,46,80445,8700,0,0
166,110000,2,1,2,27,228049,22944,0,0
167,370000,1,1,2,50,33643,51410,-2,0
168,100000,1,2,1,27,52069,14000,0,0
169,90000,2,2,1,35,251459,2861,0,0
170,50000,2,2,2,22,84861,9000,0,0
171,270000,1,2,2,37,78583,4218,0,0
172,300000,2,1,2,30,7812,15000,-1,0
173,50000,2,2,2,22,18297,0,0,0
174,50000,2,1,2,24,-9442,0,-2,1
175,360000,1,1,2,29,0,5500,-1,0
176,130000,1,3,1,56,212698,4000,2,1
177,80000,1,1,2,30,8737,4000,0,0
178,50000,1,2,2,30,75459,4000,0,0
179,20000,2,2,2,22,42070,1400,0,0
180,80000,2,2,1,29,83615,67191,0,0
181,240000,1,1,2,37,54140,7000,0,0
182,80000,2,3,2,35,52594,92183,0,0
183,500000,2,1,1,47,301865,3737,0,0
184,60000,2,2,1,24,57689,1959,0,1
185,20000,1,2,2,25,15515,2500,0,0
186,100000,2,2,1,38,48584,68452,0,1
187,360000,2,1,2,32,98566,13970,-1,0
188,200000,2,3,2,47,586263,3501,2,1
189,130000,2,2,1,34,42076,760,0,0
190,20000,2,2,2,31,61541,14311,4,0
191,310000,1,1,2,32,169590,1746,0,0
192,60000,2,1,2,27,68377,22682,0,1
193,180000,2,1,2,29,34269,0,-2,0
194,180000,2,1,2,24,10200,21511,0,0
195,50000,1,2,1,36,716,3132,0,0
196,50000,2,1,2,24,117725,1500,2,1
197,150000,2,2,1,34,1616,21693,-2,0
198,20000,2,1,2,22,46447,18173,0,0
199,500000,2,1,1,34,3608,104,-1,0
200,30000,2,3,2,22,31466,0,0,1
201,180000,2,1,1,38,0,10300,-2,0
202,140000,1,1,2,31,58465,20997,0,0
203,140000,2,1,2,26,19811,15000,-1,0
204,120000,1,2,2,26,357266,15300,0,0
205,360000,2,2,1,48,510279,6616,0,0
206,20000,1,3,1,43,58126,2770,0,0
207,100000,1,1,1,47,780,1296,-1,0
208,210000,2,2,1,41,4640,5600,-1,1
209,80000,2,2,2,24,148629,1967,0,1
210,330000,2,1,1,50,3399,85632,-1,0
211,220000,1,1,2,24,93935,11627,-1,0
212,210000,2,1,1,38,2134,4000,0,1
213,40000,2,3,1,43,100684,3148,0,0
214,30000,1,2,2,39,28760,31689,2,0
215,470000,1,2,2,27,1095082,1470,2,0
216,30000,1,3,1,42,2340,0,-1,0
217,240000,2,2,1,36,-2838,9500,-2,1
218,80000,1,2,2,36,234496,14954,0,0
219,110000,2,3,0,31,200341,0,0,0
220,310000,2,1,2,38,0,14200,-1,0
221,360000,2,1,1,40,352773,36341,0,1
222,330000,2,3,2,45,999741,36557,0,0
223,300000,2,2,2,35,636799,10875,0,0
224,320000,2,2,2,33,142981,32793,0,0
225,50000,2,3,2,37,90600,14659,0,1
226,170000,2,1,2,28,381633,0,0,0
227,350000,1,3,1,44,569,2292,-1,0
228,20000,1,2,1,37,56593,2415,0,0
229,50000,1,2,2,23,60171,3300,0,1
230,20000,2,3,2,24,9360,1638,0,0
231,50000,2,1,2,24,31113,11000,0,0
232,20000,1,2,2,23,40433,49314,0,1
233,50000,1,2,1,26,94748,14887,-1,0
234,190000,1,2,2,34,432495,2131,0,1
235,60000,2,2,1,33,60290,23738,0,0
236,80000,1,1,2,35,23039,4814,-1,0
237,150000,2,2,2,27,110781,11674,0,0
238,210000,2,1,2,31,9268,23723,-2,0
239,240000,2,3,1,50,632711,6399,0,1
240,140000,2,2,3,41,51860,2285,0,1
241,60000,2,1,2,28,2285,6000,-2,0
242,50000,1,1,2,39,97466,3500,0,0
243,50000,2,2,2,27,86179,2997,0,0
244,180000,2,1,2,32,2821,120,2,0
245,30000,2,1,2,40,117,0,2,0
246,20000,2,2,2,40,19575,7550,0,0
247,250000,2,2,1,75,7376,3573,-1,0
248,100000,2,2,2,27,94238,3663,0,0
249,330000,1,1,2,25,115945,3611,0,0
250,50000,1,3,1,46,50667,7010,0,0
251,50000,2,2,2,26,89640,955,0,0
252,30000,1,2,2,28,47256,10983,0,0
253,140000,2,2,2,26,319861,122269,0,1
254,160000,2,1,2,28,191317,5261,0,0
255,400000,2,2,2,29,9326,2904,-1,0
256,50000,1,2,1,25,87999,23838,0,0
257,140000,2,2,1,48,23846,3756,-1,0
258,160000,2,2,1,33,62115,0,-1,0
259,100000,2,3,1,43,0,17000,-2,0
260,220000,1,1,1,48,503686,95366,0,1
261,510000,2,1,2,29,227780,10510,0,0
262,50000,1,2,2,29,85262,14568,0,0
263,160000,2,1,1,38,48171,637,-1,0
264,230000,2,1,2,37,637,22516,-2,0
265,80000,2,1,2,37,18704,948,-1,0
266,150000,2,2,1,25,948,1022,-1,0
267,10000,1,3,2,23,28322,1161,0,0
268,130000,2,3,2,49,105219,4500,0,1
269,40000,2,1,2,48,105021,4505,0,0
270,50000,1,2,2,27,30901,5031,0,1
271,100000,1,3,2,32,57687,450,0,0
272,120000,1,1,1,34,1350,0,0,0
273,260000,2,1,2,58,0,6200,-2,1
274,200000,2,2,2,33,42742,0,0,0
275,360000,2,2,2,28,0,8000,-2,1
276,70000,2,2,2,36,59558,22545,0,0
277,460000,1,1,1,40,25166,948,-1,1
278,50000,2,1,2,26,948,2107,-1,0
279,50000,1,3,1,33,59816,13400,0,0
280,250000,2,2,1,31,301199,0,0,0
281,30000,2,1,2,27,1814,118839,0,0
282,270000,1,2,1,44,157232,9816,0,0
283,180000,2,3,2,30,296092,11000,0,0
284,100000,2,1,2,28,164432,14000,0,0
285,230000,2,3,1,32,291453,36534,0,0
286,210000,2,1,1,46,36833,6502,-1,0
287,210000,1,1,2,38,172895,10502,0,0
288,440000,2,2,1,46,316037,5646,0,0
289,100000,2,2,2,25,190939,3000,0,1
290,240000,2,2,1,46,26841,345618,0,0
291,280000,1,1,2,33,-338380,0,-1,1
292,50000,2,2,2,22,0,600,-2,1
293,30000,1,2,1,43,6748,1463,2,0
294,10000,1,2,2,27,30046,1500,0,1
295,130000,1,1,2,29,0,15245,-2,0
296,200000,1,1,2,31,400969,4316,0,0
297,120000,2,2,1,29,3243,15144,-1,0
298,210000,2,2,1,36,427812,4200,0,0
299,280000,2,1,1,36,90644,19798,0,0
300,300000,1,1,2,34,32399,7167,0,1
301,100000,1,2,2,37,198235,162000,0,0
302,440000,2,1,2,36,0,3000,-2,0
303,50000,2,3,1,40,41043,4700,0,0
304,20000,2,1,2,25,44095,7394,0,1
305,200000,2,1,2,27,15740,3000,0,0
306,110000,2,2,2,26,3504,4590,-2,0
307,500000,2,2,1,36,13090,0,-1,0
308,300000,2,2,1,27,0,4500,-2,0
309,30000,1,3,1,55,41191,13830,3,1
310,60000,2,1,2,27,16898,11477,-1,0
311,400000,2,2,1,38,12502,15000,-1,0
312,180000,2,2,1,34,390990,4500,0,0
313,20000,1,1,2,40,37808,10286,2,0
314,200000,2,3,1,49,173363,1754,2,1
315,100000,1,1,2,27,52797,3425,0,0
316,60000,1,2,2,23,54431,6800,0,1
317,110000,2,2,2,36,156721,1341,0,0
318,260000,2,3,1,53,1334,2547,-2,0
319,50000,2,3,1,46,84523,0,0,0
320,180000,1,2,2,29,-6,5854,-2,0
321,110000,1,2,2,29,144478,58581,0,1
322,340000,2,1,2,27,404536,4783,0,0
323,50000,1,2,2,24,23945,7940,0,0
324,230000,2,2,1,28,9040,30000,-2,1
325,360000,2,2,2,32,296492,11000,0,0
326,210000,1,2,2,43,122686,650,0,0
327,220000,2,2,1,41,1750,2591,-1,1
328,60000,2,2,1,34,89975,109210,2,1
329,340000,1,2,1,55,34205,12400,-2,0
330,150000,1,1,1,40,321550,43500,2,0
331,200000,2,2,1,37,46875,3700,-1,1
332,130000,2,2,2,40,32678,28540,0,1
333,60000,2,1,2,28,64257,79988,0,0
334,400000,2,2,1,43,79988,1750,-2,0
335,20000,1,1,2,27,57429,17988,0,0
336,190000,2,1,2,28,470563,20000,0,0
337,260000,2,1,2,30,475984,0,0,0
338,140000,2,2,2,31,0,3166,-2,0
339,50000,2,2,1,31,90177,7167,0,1
340,120000,2,1,2,34,3260,1975,-1,0
341,240000,2,2,2,30,92,978,-2,0
342,50000,1,2,2,36,2636,6000,0,0
343,200000,2,1,2,29,69246,102903,-1,0
344,180000,1,1,1,39,122295,12384,0,0
345,180000,2,1,2,26,320659,19500,0,0
346,160000,2,1,2,29,10139,4605,-1,0
347,100000,2,2,2,26,9502,6000,0,0
348,50000,2,2,2,29,126653,16300,0,1
349,140000,2,2,2,31,423601,2510,0,0
350,30000,2,2,2,26,60862,26101,0,1
351,90000,1,1,2,26,25041,114000,0,0
352,200000,1,1,1,36,-2298,0,-1,0
353,380000,1,1,2,30,0,3268,-2,1
354,80000,2,2,2,43,89492,2273,0,0
355,50000,1,3,1,58,56475,4200,0,0
356,180000,1,2,1,45,91527,11345,0,1
357,240000,2,2,2,26,330459,15400,0,0
358,380000,1,2,2,34,515049,10500,0,0
359,110000,2,4,2,24,247426,34621,0,0
360,260000,1,1,1,34,36681,51500,-1,0
361,500000,2,2,2,23,1409762,7942,0,1
362,320000,2,2,2,30,221833,4223,0,0
363,50000,1,2,2,32,114822,498,0,0
364,110000,1,1,1,40,2432,1709,0,1
365,230000,2,1,2,35,1854,13025,-2,0
366,330000,2,2,1,56,12641,4039,-2,0
367,50000,2,2,1,61,71264,150,0,0
368,10000,1,2,2,24,6953,0,2,0
369,300000,1,1,1,40,0,1638,-2,0
370,20000,2,2,1,32,32987,0,0,1
371,180000,1,2,1,36,0,92740,-2,1
372,160000,1,1,2,30,43318,10000,-1,0
373,90000,2,1,2,34,140936,6000,2,0
374,30000,1,3,3,54,73503,172759,0,0
375,180000,1,1,1,46,313096,3761,0,0
376,30000,1,3,1,58,65732,5200,0,0
377,30000,1,2,1,43,70934,13100,0,0
378,140000,2,1,2,28,12136,17000,-1,0
379,210000,1,1,2,30,142314,11000,0,0
380,50000,1,2,2,31,33203,11125,0,1
381,130000,2,2,2,29,221597,1400,0,0
382,50000,2,2,1,37,7922,10700,0,1
383,140000,1,3,1,36,267925,891,0,0
384,170000,2,2,2,28,16930,6305,2,1
385,80000,1,2,2,25,25280,25800,0,0
386,410000,2,5,1,42,715980,0,0,0
387,80000,2,1,2,29,0,12100,-2,0
388,80000,1,3,1,73,218534,16734,2,1
389,150000,1,2,1,43,480278,130942,0,0
390,260000,1,1,1,30,582,0,0,1
391,350000,1,1,1,38,0,6933,-2,0
392,280000,2,2,1,39,103051,8654,0,1
393,310000,1,2,1,44,219928,7500,0,0
394,140000,2,2,2,29,62295,0,0,0
395,360000,1,1,1,51,0,17600,-2,0
396,140000,2,1,2,27,427860,579,0,0
397,100000,1,1,2,38,114969,632,0,0
398,50000,2,2,2,22,1480,10700,-2,0
399,210000,2,2,1,30,248001,9400,0,0
400,120000,2,2,2,25,352791,194040,2,0
401,240000,1,1,2,29,279091,6041,0,0
402,60000,2,3,3,42,86497,2816,0,0
403,150000,1,1,2,41,3166,4412,-1,1
404,30000,1,2,1,48,76988,11454,0,0
405,160000,2,1,2,29,490791,86296,2,1
406,200000,1,1,1,52,82150,0,-2,0
407,120000,2,2,1,25,0,36951,-2,0
408,500000,1,1,1,37,1036803,37515,0,0
409,320000,2,1,2,27,187614,18452,0,0
410,280000,1,1,2,31,519054,3900,0,0
411,60000,2,1,2,23,96915,150,2,1
412,200000,2,1,1,38,67,4196,-1,0
413,230000,2,1,1,32,8791,5954,-1,0
414,230000,2,2,2,27,24882,43964,0,1
415,480000,2,3,1,41,50997,640,-2,0
416,50000,2,3,1,35,0,1263,-2,0
417,200000,2,1,2,31,160,3000,-2,0
418,50000,2,1,2,30,56335,6500,0,0
419,50000,1,2,1,48,57392,0,0,0
420,260000,2,1,2,36,0,4300,-2,1
421,30000,1,1,2,24,87332,18051,0,0
422,440000,2,1,2,29,466876,5193,0,0
423,230000,2,2,2,38,3351,12500,-1,0
424,200000,1,2,1,38,300388,18732,0,1
425,490000,2,2,1,30,592802,0,0,0
426,80000,2,2,1,32,0,5623,-2,0
427,20000,2,3,2,49,44324,597,2,1
428,170000,2,1,2,31,796,30795,-1,1
429,70000,1,1,2,27,88145,9000,0,0
430,210000,2,2,2,33,252724,9101,0,0
431,90000,2,2,2,25,228142,28512,0,0
432,390000,2,1,2,27,867580,6557,0,1
433,110000,2,1,2,29,156210,17846,0,0
434,580000,2,1,1,36,506084,0,0,0
435,360000,1,3,1,55,1770,24000,-1,0
436,270000,2,2,1,32,662747,350,2,1
437,60000,2,1,2,27,600,6800,-1,0
438,110000,1,3,1,37,181022,2265,0,0
439,50000,2,1,1,25,87240,43500,0,0
440,80000,2,1,2,23,130987,14185,0,1
441,50000,1,2,2,23,26924,6700,-1,0
442,100000,1,1,2,32,274354,3192,0,0
443,30000,2,1,2,26,3192,18436,-1,0
444,200000,2,1,2,27,356887,23000,0,0
445,240000,1,1,2,44,593910,2100,0,1
446,220000,1,2,2,34,60806,7400,0,0
447,160000,2,1,2,28,257226,1599,0,0
448,180000,2,1,1,53,6999,3602,0,0
449,200000,1,4,1,42,61284,9710,0,0
450,140000,2,3,1,30,184728,0,2,0
451,380000,1,1,1,51,0,57000,-2,1
452,600000,1,1,1,53,1322827,19000,0,1
453,260000,1,2,2,37,380864,4329,-1,0
454,200000,2,1,2,26,3757,5300,-2,0
455,80000,1,2,2,42,146702,10514,0,0
456,40000,1,2,2,39,30946,12000,0,0
457,130000,1,3,2,39,225420,0,2,0
458,50000,1,1,2,32,25775,22669,0,0
459,230000,2,2,1,41,24277,10990,-1,0
460,70000,1,2,1,48,33760,15000,0,1
461,180000,2,2,1,38,375316,11326,0,0
462,80000,2,2,1,36,12108,29521,-1,0
463,290000,2,2,2,26,27936,12892,-1,0
464,230000,2,1,2,28,292998,764,0,0
465,170000,2,3,3,56,150,20909,-1,0
466,230000,1,1,1,59,592001,19738,0,1
467,220000,1,1,2,38,551584,1747,0,1
468,230000,1,2,2,32,61737,32210,0,0
469,500000,1,2,1,38,142317,4902,-1,0
470,90000,2,1,1,41,3847,28664,-1,0
471,390000,2,3,2,35,772709,18080,0,1
472,400000,2,2,2,41,503300,5002,0,0
473,180000,1,2,1,34,4706,4200,-1,0
474,60000,1,3,1,38,101408,11050,0,0
475,120000,2,2,1,32,12370,2520,-1,0
476,60000,2,2,2,29,83164,3369,0,0
477,50000,1,1,2,44,87257,6467,0,0
478,70000,2,2,1,37,172667,1500,2,0
479,500000,2,1,1,38,1350,0,-1,0
480,200000,1,1,2,31,0,68688,-2,0
481,250000,2,2,1,40,1988,11250,0,0
482,140000,1,2,2,26,414725,6736,2,1
483,70000,2,2,2,28,48774,7186,0,0
484,90000,1,3,1,48,189615,6979,2,0
485,100000,2,2,1,43,5424,11046,-1,0
486,190000,1,2,1,31,363098,17492,0,0
487,230000,2,1,1,42,17492,12018,-1,0
488,320000,1,2,1,39,279353,1584,0,0
489,220000,2,2,1,36,1188,14785,0,1
490,260000,2,1,1,34,10813,0,-1,0
491,90000,2,2,2,32,0,1700,-2,0
492,30000,2,2,1,43,64860,6009,2,0
493,260000,1,2,2,30,246398,0,2,0
494,170000,2,2,2,28,0,978,-1,0
495,80000,2,1,1,28,30930,1860,0,1
496,50000,1,1,1,41,930,22228,-1,0
497,200000,2,3,2,47,596057,2242,0,0
498,20000,1,2,2,23,68702,1651,0,0
499,250000,2,1,1,49,1753,1650,-1,0
500,20000,1,1,1,38,60893,2700,2,0
501,30000,2,2,1,38,73865,6500,0,0
502,90000,2,2,1,35,89067,22500,2,0
503,230000,2,6,2,46,569882,0,0,0
504,130000,2,1,1,33,44608,0,0,1
505,30000,1,6,1,53,0,2013,-2,0
506,160000,1,1,2,35,2012,528966,-1,0
507,500000,2,2,2,43,472476,4500,0,0
508,180000,2,2,2,28,108367,1500,0,0
509,80000,2,2,1,30,27114,0,0,0
510,120000,1,1,2,26,10446,1710,-1,0
511,130000,1,2,1,31,2731,720,-1,0
512,120000,2,2,2,35,720,57113,-1,1
513,360000,1,1,2,28,55108,4000,-1,0
514,50000,1,2,2,23,97571,1451,2,1
515,20000,2,2,2,23,45459,6498,0,0
516,100000,1,3,1,56,238626,11000,0,0
517,70000,1,3,1,32,209560,1797,0,0
518,50000,1,2,1,47,57056,2091,0,0
519,10000,2,2,2,22,29937,21000,0,0
520,290000,2,1,1,34,330312,3623,0,0
521,30000,2,1,1,31,57853,39125,0,0
522,410000,2,2,2,27,168138,316200,0,0
523,360000,1,1,2,28,358125,13112,0,1
524,140000,2,2,1,42,208320,8600,0,1
525,210000,2,1,2,32,220093,156395,0,0
526,220000,2,2,2,27,4722,1906,-1,0
527,20000,1,2,2,27,60446,18500,0,0
528,620000,2,2,1,45,501834,4298,0,1
529,360000,1,1,2,26,4269,22073,-2,0
530,20000,2,2,2,21,5670,11500,2,0
531,50000,1,2,2,23,57062,2113,0,0
532,50000,1,2,3,30,54091,495,0,0
533,10000,1,2,2,46,20345,5000,2,1
534,100000,2,3,1,50,186192,2204,3,1
535,50000,1,1,2,26,3420,9260,-2,0
536,60000,1,2,2,25,11603,21600,-1,0
537,440000,2,1,2,35,648352,4119,0,0
538,120000,1,2,1,44,159322,318,0,0
539,50000,2,1,2,52,318,11500,-2,0
540,110000,2,2,1,40,297222,805,2,0
541,200000,2,1,2,38,488,318,-2,0
542,150000,2,1,2,28,318,3700,-2,0
543,30000,2,2,1,36,84527,44605,2,1
544,100000,2,1,2,24,73880,6372,0,0
545,360000,2,1,1,34,12093,12000,-1,0
546,390000,2,1,2,31,146187,0,0,0
547,220000,2,1,1,41,-330,0,-2,1
548,160000,2,2,2,25,0,13000,-2,0
549,230000,2,1,2,28,43944,12500,0,0
550,120000,1,1,2,27,98398,4000,0,0
551,100000,1,3,1,52,20563,27354,2,1
552,190000,2,1,2,41,27408,4517,-1,1
553,50000,1,1,1,56,89218,0,0,1
554,240000,2,1,1,42,0,5158,-2,0
555,40000,2,2,2,24,114163,13635,-2,0
556,630000,2,2,1,47,11286,1494,-1,0
557,160000,2,1,1,33,699,9300,-2,0
558,110000,2,2,2,32,244638,0,2,0
559,20000,1,2,2,29,0,7022,-2,0
560,210000,2,3,1,53,187222,19092,0,0
561,270000,1,1,2,34,24001,1737,-1,0
562,360000,2,2,2,52,1940,4786,-2,0
563,60000,2,2,1,42,4472,115700,-1,0
564,360000,1,2,2,38,194909,1240,0,0
565,390000,2,1,2,45,10284,26947,-1,0
566,250000,2,3,2,35,20179,6784,-2,0
567,90000,2,1,2,24,64343,32466,0,1
568,360000,1,1,2,28,26892,2401,-1,0
569,50000,1,3,2,26,59017,0,0,0
570,270000,2,1,1,40,0,19686,-2,0
571,200000,2,1,2,29,24533,3000,-1,0
572,50000,2,2,2,23,56133,4554,0,0
573,350000,1,1,2,33,4488,4186,-2,0
574,160000,2,2,2,60,4675,22355,0,1
575,80000,2,3,1,49,15824,25649,-1,0
576,290000,1,1,1,53,778818,37000,0,1
577,270000,2,1,2,28,136979,4085,0,0
578,80000,1,1,2,31,8705,2000,-1,0
579,50000,1,2,2,36,21098,2040,0,0
580,30000,1,2,1,35,5377,0,-1,0
581,30000,1,2,2,28,0,20584,-2,1
582,90000,1,2,2,33,103313,37258,0,0
583,160000,1,1,2,26,32136,7500,-1,0
584,80000,2,3,2,53,176030,1700,0,0
585,50000,1,2,2,42,94718,2400,0,0
586,20000,2,1,2,25,52397,0,0,0
587,220000,1,1,1,43,0,11518,-2,1
588,210000,1,3,2,25,13182,4020,-1,1
589,130000,2,2,2,29,139555,74606,0,0
590,260000,2,2,1,31,102740,14000,0,0
591,230000,2,1,1,30,173900,9738,-1,0
592,160000,1,1,2,34,260014,4804,0,0
593,50000,1,1,1,35,22137,12019,0,0
594,80000,1,2,1,32,121789,7190,0,0
595,110000,1,3,2,46,182973,14748,0,0
596,200000,1,1,1,43,404191,21527,0,0
597,360000,1,2,2,29,751538,0,0,0
598,210000,2,3,2,31,0,7000,-2,0
599,80000,2,2,2,24,176185,78921,0,0
600,300000,2,2,1,36,70444,2638,0,1
601,310000,2,2,1,43,75965,1710,0,0
602,30000,1,3,1,59,2100,1553,-1,1
603,170000,1,1,1,53,48592,5070,0,0
