amount,total
5.26,1018.09
8.31,1018.09
43.47,1018.09
15.39,1018.09
2.45,1018.09
79.45,1018.09
3.6,1018.09
57.74,1018.09
33.14,1018.09
23.29,1018.09
10.98,1018.09
146.81,1018.09
38.45,1018.09
12.61,1018.09
39.45,1018.09
0.66,1018.09
51.62,1018.09
14.94,1018.09
14.41,1018.09
50.19,1018.09
16.9,1018.09
28.53,1018.09
45.72,1018.09
11.56,1018.09
2.8,1018.09
99.15,212.79
1.73,212.79
111.91,212.79
12.05,697.18
43.13,697.18
38.86,697.18
16.05,697.18
6.18,697.18
20.94,697.18
14.13,697.18
7.15,697.18
7.51,697.18
17.91,697.18
86.69,697.18
18.04,697.18
17.61,697.18
24.87,697.18
21.48,697.18
8.63,697.18
32.32,697.18
52.24,697.18
31.9,697.18
54.71,697.18
27.08,697.18
57.79,697.18
22.85,697.18
19.72,697.18
37.34,697.18
122.2,122.2
45.56,779.63
48.6,779.63
35.35,779.63
20.38,779.63
6.49,779.63
26.79,779.63
3.43,779.63
49.33,779.63
23.54,779.63
76.13,779.63
27.88,779.63
68.35,779.63
28.64,779.63
18.79,779.63
19.2,779.63
3.31,779.63
13.12,779.63
35.44,779.63
17.23,779.63
50.2,779.63
5.78,779.63
23.68,779.63
26.54,779.63
26.98,779.63
13.45,779.63
31.33,779.63
34.11,779.63
200.61,399.49
63.93,399.49
134.95,399.49
43.59,656.04
47.26,656.04
21.91,656.04
21.83,656.04
31.79,656.04
27.43,656.04
14.86,656.04
5.59,656.04
5.63,656.04
29.11,656.04
19.43,656.04
28.75,656.04
32.25,656.04
20.64,656.04
22.1,656.04
10.51,656.04
32.57,656.04
17.65,656.04
31.32,656.04
24.53,656.04
55.84,656.04
35.29,656.04
68.98,656.04
5.76,656.04
1.42,656.04
210.42,978.57
15.57,978.57
55.31,978.57
11.06,978.57
33.23,978.57
8.88,978.57
35.37,978.57
11.77,978.57
9.52,978.57
58.82,978.57
24.8,978.57
9.29,978.57
12.11,978.57
45.57,978.57
33.27,978.57
32.24,978.57
12.75,978.57
11.72,978.57
7.93,978.57
46.9,978.57
19.12,978.57
6.11,978.57
13.15,978.57
14.6,978.57
30.72,978.57
51.12,978.57
27.65,978.57
82.12,978.57
22.92,978.57
5.94,978.57
18.59,978.57
0.84,449.54
31.88,449.54
40.25,449.54
13.59,449.54
1.51,449.54
3.54,449.54
11.26,449.54
17.2,449.54
72.34,449.54
47.88,449.54
18.32,449.54
5.83,449.54
28.72,449.54
28.21,449.54
45.41,449.54
26.72,449.54
41.08,449.54
14.96,449.54
29.14,802.28
40.04,802.28
4.91,802.28
20.42,802.28
3.96,802.28
4.23,802.28
39.49,802.28
249.49,802.28
27.68,802.28
4.89,802.28
19.67,802.28
39.28,802.28
17.66,802.28
19.63,802.28
37.21,802.28
39.43,802.28
36.02,802.28
10.02,802.28
3.08,802.28
48.58,802.28
6.16,802.28
19.58,802.28
24.04,802.28
55.29,802.28
0.81,802.28
0.53,802.28
1.04,802.28
1.75,730.19
51.11,730.19
40.58,730.19
7.89,730.19
13.24,730.19
38,730.19
34.65,730.19
49.7,730.19
6.49,730.19
11.55,730.19
38.07,730.19
30.67,730.19
46.95,730.19
6.49,730.19
23.01,730.19
8.16,730.19
19.08,730.19
40.25,730.19
26.23,730.19
21.5,730.19
4.38,730.19
8.84,730.19
14.07,730.19
57.02,730.19
39.06,730.19
32.57,730.19
30.68,730.19
28.2,730.19
18.14,650.05
4.02,650.05
19.32,650.05
7.11,650.05
22.63,650.05
33.35,650.05
5.42,650.05
34.62,650.05
37.56,650.05
36.6,650.05
1.92,650.05
35.79,650.05
99.49,650.05
39.96,650.05
26.4,650.05
28.03,650.05
17.42,650.05
37.6,650.05
10.15,650.05
10.81,650.05
29.95,650.05
72.14,650.05
21.62,650.05
46.22,1123.54
17.69,1123.54
31.12,1123.54
39.03,1123.54
23.42,1123.54
55.53,1123.54
11.03,1123.54
33.5,1123.54
51.53,1123.54
44.21,1123.54
0.66,1123.54
47.41,1123.54
20.62,1123.54
45.72,1123.54
17.87,1123.54
8.83,1123.54
5.24,1123.54
31.86,1123.54
42.02,1123.54
14.66,1123.54
143.73,1123.54
52.98,1123.54
78.59,1123.54
30.31,1123.54
18.56,1123.54
105.45,1123.54
3.15,1123.54
38.28,1123.54
48.07,1123.54
16.25,1123.54
36.82,36.82
143.67,143.67
172.21,819.69
494.42,819.69
96.59,819.69
3.27,819.69
9.82,819.69
32.26,819.69
11.12,819.69
52.5,854.06
53,854.06
23.82,854.06
25.24,854.06
58.07,854.06
15.62,854.06
5.28,854.06
32.39,854.06
39.92,854.06
32.18,854.06
21.22,854.06
14.51,854.06
2.85,854.06
12.5,854.06
18.31,854.06
14.48,854.06
17.39,854.06
14.42,854.06
24.26,854.06
11.85,854.06
10.66,854.06
50.6,854.06
20.92,854.06
12.34,854.06
145.37,854.06
35.9,854.06
33.19,854.06
25.92,854.06
26.27,854.06
3.08,854.06
24.8,859.77
44.04,859.77
48.05,859.77
43.94,859.77
51.47,859.77
18.88,859.77
13.28,859.77
38.73,859.77
37.68,859.77
11.95,859.77
44.65,859.77
32.6,859.77
45.9,859.77
38.73,859.77
41.99,859.77
83.48,859.77
32.73,859.77
11.56,859.77
21.22,859.77
20.11,859.77
28.98,859.77
6.26,859.77
1.61,859.77
2.2,859.77
27.48,859.77
24.35,859.77
30.96,859.77
19.04,859.77
13.1,859.77
39.85,901.63
24.69,901.63
29.31,901.63
35.78,901.63
18.09,901.63
22.6,901.63
2.41,901.63
49.18,901.63
43,901.63
21.56,901.63
24.1,901.63
23.52,901.63
32.83,901.63
18.22,901.63
32.01,901.63
31.88,901.63
31.56,901.63
21.78,901.63
68.09,901.63
18.7,901.63
52.45,901.63
109.67,901.63
28.76,901.63
31.73,901.63
20.35,901.63
22.93,901.63
46.58,901.63
6.79,652.54
26.18,652.54
60.9,652.54
57.9,652.54
11.73,652.54
2.77,652.54
32.95,652.54
15.16,652.54
19.76,652.54
16.76,652.54
23.61,652.54
26.8,652.54
54.67,652.54
44.99,652.54
18.54,652.54
44.09,652.54
33.62,652.54
9.75,652.54
4.15,652.54
12.19,652.54
27.96,652.54
17.38,652.54
25.39,652.54
7.26,652.54
17.64,652.54
33.6,652.54
89.85,544.16
41.74,544.16
14.95,544.16
60.51,544.16
14.55,544.16
19.36,544.16
2.85,544.16
27.68,544.16
10.69,544.16
5.8,544.16
120.98,544.16
0.42,544.16
84.21,544.16
27.36,544.16
23.21,544.16
8.06,688.3
4.42,688.3
13.57,688.3
18.16,688.3
12.92,688.3
9,688.3
32.22,688.3
7.19,688.3
13.78,688.3
14.46,688.3
25.42,688.3
7.74,688.3
29.43,688.3
60.93,688.3
36.33,688.3
53.72,688.3
29.84,688.3
49.87,688.3
23.07,688.3
45.19,688.3
5.54,688.3
24.15,688.3
19.02,688.3
73.94,688.3
23.25,688.3
6.9,688.3
5.13,688.3
35.05,688.3
19.78,1038.78
5.98,1038.78
39.78,1038.78
158.85,1038.78
28.76,1038.78
5.17,1038.78
244.81,1038.78
45.63,1038.78
2.54,1038.78
36.8,1038.78
19.35,1038.78
18.18,1038.78
17.34,1038.78
44.9,1038.78
2.66,1038.78
34.62,1038.78
38.17,1038.78
24.61,1038.78
38.9,1038.78
33.25,1038.78
37.39,1038.78
49.73,1038.78
18.16,1038.78
27.82,1038.78
2.13,1038.78
36.45,1038.78
7.02,1038.78
4.98,941.58
15.44,941.58
21.94,941.58
29.42,941.58
28.63,941.58
15.14,941.58
97.41,941.58
34.35,941.58
46.6,941.58
69.2,941.58
22.88,941.58
18.46,941.58
22.2,941.58
21.64,941.58
33.52,941.58
380.42,941.58
79.35,941.58
5.15,846.16
32.8,846.16
24.34,846.16
22.76,846.16
8.77,846.16
35.54,846.16
56.97,846.16
9.91,846.16
13.31,846.16
75.44,846.16
43.13,846.16
60.83,846.16
42.76,846.16
2.7,846.16
53.86,846.16
35.65,846.16
51,846.16
28.26,846.16
40.96,846.16
54.98,846.16
12.61,846.16
28.47,846.16
29.96,846.16
9.26,846.16
20.11,846.16
28.81,846.16
2.76,846.16
15.06,846.16
129.41,129.41
72.2,728.25
21.5,728.25
15.66,728.25
18.62,728.25
14.86,728.25
4.52,728.25
5.28,728.25
37.84,728.25
27.96,728.25
60.41,728.25
27.37,728.25
15.55,728.25
23.73,728.25
25.99,728.25
16.65,728.25
32.97,728.25
4.8,728.25
56.28,728.25
4.3,728.25
25.83,728.25
14.31,728.25
4.43,728.25
5.53,728.25
24.4,728.25
35.76,728.25
48.97,728.25
43.72,728.25
38.81,728.25
8.05,390.53
88.44,390.53
106.25,390.53
57.15,390.53
130.64,390.53
127.84,223.55
95.71,223.55
28.88,254.9
11.47,254.9
80.88,254.9
133.67,254.9
17.14,746.49
44.87,746.49
10.66,746.49
48.66,746.49
31.56,746.49
8.29,746.49
19.09,746.49
5.25,746.49
3.78,746.49
12.14,746.49
36.01,746.49
17.33,746.49
52.34,746.49
8.52,746.49
49.36,746.49
1,746.49
37.96,746.49
30.84,746.49
135.57,746.49
47.84,746.49
8.8,746.49
31.05,746.49
14.04,746.49
5.58,746.49
5.36,746.49
24.94,746.49
38.51,746.49
203.84,203.84
90.2,720.63
6.3,720.63
92.05,720.63
38.15,720.63
22.13,720.63
91.19,720.63
36.58,720.63
8.49,720.63
56.8,720.63
42.34,720.63
4.25,720.63
25.93,720.63
17.06,720.63
31.39,720.63
77.09,720.63
11.88,720.63
11.1,720.63
48.28,720.63
7.9,720.63
1.52,720.63
17.61,748.98
5.82,748.98
25.8,748.98
17.38,748.98
50.85,748.98
39.28,748.98
24.71,748.98
4.88,748.98
1.97,748.98
8.81,748.98
10.01,748.98
8.52,748.98
21.45,748.98
47.2,748.98
19.22,748.98
58.34,748.98
32.62,748.98
70.44,748.98
35.06,748.98
28.88,748.98
25.83,748.98
48.21,748.98
15.53,748.98
17.3,748.98
30.67,748.98
36.28,748.98
46.31,748.98
559.85,698.78
138.93,698.78
11.37,719.59
42.23,719.59
9.76,719.59
2.77,719.59
10.25,719.59
59.42,719.59
55.07,719.59
37,719.59
7.27,719.59
3.59,719.59
41.97,719.59
23.44,719.59
53.44,719.59
28.39,719.59
27.36,719.59
30.16,719.59
27.58,719.59
2.36,719.59
43.12,719.59
13.8,719.59
0.59,719.59
1.99,719.59
52.94,719.59
25.26,719.59
32.59,719.59
47.51,719.59
19.27,719.59
9.09,719.59
37.95,1446.33
23.64,1446.33
11.08,1446.33
17.93,1446.33
5.32,1446.33
44.79,1446.33
42.17,1446.33
39.46,1446.33
31.4,1446.33
18.82,1446.33
114.62,1446.33
33.17,1446.33
4.86,1446.33
23.38,1446.33
13.16,1446.33
38.13,1446.33
91.39,1446.33
562.03,1446.33
31.39,1446.33
25.62,1446.33
32.71,1446.33
28.88,1446.33
4.65,1446.33
30.19,1446.33
34.94,1446.33
46.17,1446.33
11.7,1446.33
18.39,1446.33
0.59,1446.33
27.8,1446.33
93.78,157.74
53.07,157.74
10.89,157.74
161.75,2032.16
19.16,2032.16
43.39,2032.16
8.25,2032.16
7.79,2032.16
38.77,2032.16
20.22,2032.16
3.34,2032.16
12.96,2032.16
18.05,2032.16
42.6,2032.16
12.13,2032.16
1381.39,2032.16
27.37,2032.16
52.58,2032.16
3.66,2032.16
55.52,2032.16
8.02,2032.16
11.45,2032.16
47.9,2032.16
13.8,2032.16
26.9,2032.16
15.16,2032.16
4.44,762.78
33.86,762.78
3.71,762.78
47.27,762.78
19.76,762.78
24,762.78
37.8,762.78
14.63,762.78
23.26,762.78
33.58,762.78
57.81,762.78
2.36,762.78
1.6,762.78
29.6,762.78
28.56,762.78
58.53,762.78
30.25,762.78
22.72,762.78
36.02,762.78
52.62,762.78
54.14,762.78
15.69,762.78
5.88,762.78
52.63,762.78
49.57,762.78
1.55,762.78
10.48,762.78
10.46,762.78
74.33,74.33
35.47,793.97
27.86,793.97
31.66,793.97
42.24,793.97
0.49,793.97
35.65,793.97
50.51,793.97
20.16,793.97
58.13,793.97
15.51,793.97
39.96,793.97
22.34,793.97
16.08,793.97
10.27,793.97
75.67,793.97
43.06,793.97
16.89,793.97
68.32,793.97
46.4,793.97
14.75,793.97
7.4,793.97
38.34,793.97
18.28,793.97
41.67,793.97
10.81,793.97
6.05,793.97
47.82,1102.85
41.31,1102.85
52.65,1102.85
53.61,1102.85
15.45,1102.85
23.1,1102.85
16.5,1102.85
10.75,1102.85
6.08,1102.85
33.99,1102.85
46.62,1102.85
19.1,1102.85
53.46,1102.85
95.41,1102.85
153.38,1102.85
26.6,1102.85
17.97,1102.85
25.85,1102.85
16.2,1102.85
5.98,1102.85
20.13,1102.85
26.29,1102.85
21.21,1102.85
4.9,1102.85
159.83,1102.85
39.68,1102.85
7.87,1102.85
25.2,1102.85
35.91,1102.85
8.33,907.88
2.07,907.88
17.26,907.88
57.02,907.88
24.97,907.88
50.33,907.88
55.48,907.88
36.09,907.88
6.23,907.88
11.84,907.88
22.63,907.88
32.36,907.88
44.24,907.88
35.97,907.88
32.98,907.88
19.92,907.88
57.81,907.88
7.1,907.88
21.19,907.88
35.55,907.88
75.51,907.88
17.41,907.88
54.6,907.88
40.52,907.88
52.99,907.88
33.18,907.88
43.4,907.88
10.9,907.88
16.05,871.4
47.74,871.4
66.57,871.4
22.95,871.4
31.24,871.4
24.86,871.4
15.27,871.4
32.98,871.4
4.95,871.4
28.59,871.4
12.89,871.4
22.23,871.4
21.55,871.4
23.82,871.4
14.23,871.4
63.47,871.4
21.28,871.4
40.55,871.4
46.24,871.4
3.27,871.4
55.63,871.4
27.29,871.4
5.2,871.4
9.2,871.4
38.76,871.4
30.39,871.4
47.04,871.4
41.84,871.4
55.32,871.4
21.5,1091.86
30.12,1091.86
11.16,1091.86
63.89,1091.86
5.56,1091.86
56.73,1091.86
38.95,1091.86
17.92,1091.86
16.73,1091.86
68.39,1091.86
17.39,1091.86
0.99,1091.86
33.03,1091.86
21.47,1091.86
6.1,1091.86
35.86,1091.86
7.95,1091.86
1.41,1091.86
34.51,1091.86
15.65,1091.86
80.29,1091.86
45.55,1091.86
8.13,1091.86
15.97,1091.86
54.27,1091.86
25.65,1091.86
8.64,1091.86
18.3,1091.86
31.28,1091.86
265.65,1091.86
32.82,1091.86
77.41,77.41
19.79,781.46
27.55,781.46
2.28,781.46
23.47,781.46
2.9,781.46
21.21,781.46
12.68,781.46
53.35,781.46
16.62,781.46
40.68,781.46
46.1,781.46
17.83,781.46
43.19,781.46
65.68,781.46
28.36,781.46
23.76,781.46
12.78,781.46
32.13,781.46
46.2,781.46
98.81,781.46
13.26,781.46
26.32,781.46
38.03,781.46
30.9,781.46
4.16,781.46
33.42,781.46
42.53,776.45
7.81,776.45
35.83,776.45
18.17,776.45
37.81,776.45
26.24,776.45
24.53,776.45
7.04,776.45
30.27,776.45
36.86,776.45
22.87,776.45
13.38,776.45
31.55,776.45
35.37,776.45
18.35,776.45
59.65,776.45
32.17,776.45
6.62,776.45
19.22,776.45
17.73,776.45
51.97,776.45
64.65,776.45
23.48,776.45
30.45,776.45
26.46,776.45
4.48,776.45
50.96,776.45
31.9,1071.11
13.22,1071.11
25.73,1071.11
21.61,1071.11
59.17,1071.11
244.55,1071.11
16.49,1071.11
1.59,1071.11
23.57,1071.11
35.19,1071.11
33.9,1071.11
31.22,1071.11
100.16,1071.11
56.34,1071.11
8.7,1071.11
22.36,1071.11
10.81,1071.11
0.2,1071.11
21.74,1071.11
5.08,1071.11
11.41,1071.11
39.87,1071.11
9.74,1071.11
43.93,1071.11
52.42,1071.11
0.39,1071.11
104.88,1071.11
44.94,1071.11
45.67,1186.92
23.73,1186.92
23.46,1186.92
38.25,1186.92
44.2,1186.92
39.58,1186.92
42.24,1186.92
56.06,1186.92
32.45,1186.92
31.6,1186.92
25.92,1186.92
27.94,1186.92
29.21,1186.92
33.23,1186.92
44.79,1186.92
13.73,1186.92
22.61,1186.92
56.36,1186.92
61.08,1186.92
41.77,1186.92
17.46,1186.92
123.03,1186.92
238.81,1186.92
68.66,1186.92
5.08,1186.92
50.8,2217.3
4.5,2217.3
40.34,2217.3
50.49,2217.3
34.27,2217.3
127.28,2217.3
34.16,2217.3
1.79,2217.3
784.69,2217.3
38.75,2217.3
16.3,2217.3
32.61,2217.3
186.8,2217.3
11.64,2217.3
52.5,2217.3
177.99,2217.3
6,2217.3
5.82,2217.3
214.49,2217.3
7.64,2217.3
62.83,2217.3
80.16,2217.3
9.93,2217.3
24.22,2217.3
18.11,2217.3
23.23,2217.3
8.2,2217.3
49.02,2217.3
7.23,2217.3
3.99,2217.3
9.5,2217.3
6.92,2217.3
13.9,2217.3
18.09,2217.3
3.11,2217.3
17.3,809.42
49.8,809.42
52.94,809.42
14.65,809.42
30.69,809.42
1.82,809.42
9.07,809.42
52.73,809.42
11.28,809.42
45.15,809.42
8.58,809.42
34.27,809.42
3.52,809.42
19.39,809.42
17.93,809.42
22.86,809.42
10.5,809.42
26.91,809.42
3.36,809.42
39.78,809.42
14.38,809.42
117.01,809.42
27.14,809.42
46.21,809.42
41.33,809.42
32.53,809.42
13.82,809.42
28.87,809.42
15.6,809.42
36.55,905.77
12.73,905.77
52.9,905.77
4.82,905.77
5.78,905.77
22.64,905.77
8.35,905.77
55.9,905.77
4.08,905.77
55.4,905.77
42.68,905.77
55.82,905.77
10.53,905.77
40.27,905.77
13.99,905.77
47.87,905.77
30.97,905.77
61.35,905.77
25.5,905.77
46.11,905.77
55.52,905.77
42.76,905.77
46.49,905.77
20.58,905.77
40.45,905.77
35.71,905.77
30.02,905.77
58.66,126.09
67.43,126.09
34.97,297.41
20.29,297.41
80.56,297.41
71.65,297.41
24,297.41
28.36,297.41
37.58,297.41
19.4,785.09
6.48,785.09
51.81,785.09
46.45,785.09
12.76,785.09
61.48,785.09
34.26,785.09
9.71,785.09
28.33,785.09
41.09,785.09
8.24,785.09
218.16,785.09
38.22,785.09
9.57,785.09
60.11,785.09
65.04,785.09
20.42,785.09
16.94,785.09
36.62,785.09
24.6,190.74
44.37,190.74
1.97,190.74
20.83,190.74
20.38,190.74
78.59,190.74
72.92,169.71
96.79,169.71
43.57,689.77
39.54,689.77
55.83,689.77
40.51,689.77
0.56,689.77
41.22,689.77
48.14,689.77
10.57,689.77
65.35,689.77
46.39,689.77
46.62,689.77
25.7,689.77
37.01,689.77
4.82,689.77
47.79,689.77
38.44,689.77
29.61,689.77
14.15,689.77
10.08,689.77
7.26,689.77
36.61,689.77
46.68,771.38
51.8,771.38
18.23,771.38
43.98,771.38
28.48,771.38
16.62,771.38
20.84,771.38
28.43,771.38
50.18,771.38
8.88,771.38
68.33,771.38
21.26,771.38
49.69,771.38
6.41,771.38
40.15,771.38
23.48,771.38
5.88,771.38
1.16,771.38
2.4,771.38
31.54,771.38
70.68,771.38
14.74,771.38
34.66,771.38
3.99,771.38
8.2,771.38
16.89,771.38
37.51,771.38
20.29,771.38
10.13,748.67
22.19,748.67
30.08,748.67
46.44,748.67
6.9,748.67
1.56,748.67
23.8,748.67
35.95,748.67
9.65,748.67
27.75,748.67
26.4,748.67
33.99,748.67
19.42,748.67
10.29,748.67
25.65,748.67
5.33,748.67
56.43,748.67
48.68,748.67
48.72,748.67
40.65,748.67
24.6,748.67
27.44,748.67
9.84,748.67
25.44,748.67
60.67,748.67
20.44,748.67
20.29,748.67
10.14,748.67
19.8,748.67
23.97,965.22
0.59,965.22
1.32,965.22
1.31,965.22
33.44,965.22
24.08,965.22
15.26,965.22
36.83,965.22
16.49,965.22
44.17,965.22
12.1,965.22
24.57,965.22
44.78,965.22
111.4,965.22
56.73,965.22
8.33,965.22
48.19,965.22
38.68,965.22
1.78,965.22
56.28,965.22
55.75,965.22
22.18,965.22
55.82,965.22
21.66,965.22
22.05,965.22
30.35,965.22
26.61,965.22
44.6,965.22
36.82,965.22
49.08,965.22
88.42,88.42
27.65,670.58
7.32,670.58
2.02,670.58
46.19,670.58
16.61,670.58
34.88,670.58
38.33,670.58
9.19,670.58
28.15,670.58
28.56,670.58
8.45,670.58
16.9,670.58
51.08,670.58
24.24,670.58
13.8,670.58
22.2,670.58
23.41,670.58
22.24,670.58
32.58,670.58
3.28,670.58
23.13,670.58
37.54,670.58
52.64,670.58
22.74,670.58
44.26,670.58
17.26,670.58
15.93,670.58
63.56,740.49
24.61,740.49
18.63,740.49
17.32,740.49
18.94,740.49
12.79,740.49
37.62,740.49
21.22,740.49
21.2,740.49
7.06,740.49
31.75,740.49
40.07,740.49
14.93,740.49
19.55,740.49
56.54,740.49
31.75,740.49
1.07,740.49
64.94,740.49
25.04,740.49
24.76,740.49
17.31,740.49
15.97,740.49
35.93,740.49
6.48,740.49
29.04,740.49
29.87,740.49
52.54,740.49
328.02,5298.82
279.15,5298.82
77.87,5298.82
0.3,5298.82
57.53,5298.82
4241.7,5298.82
314.25,5298.82
7.6,7.6
1.61,647.24
48.1,647.24
32.01,647.24
27.09,647.24
45.14,647.24
5.15,647.24
1,647.24
36.77,647.24
0.67,647.24
13.37,647.24
6.04,647.24
4.95,647.24
36.89,647.24
15.16,647.24
38.23,647.24
36.03,647.24
33.85,647.24
34.51,647.24
9.18,647.24
54.5,647.24
22.11,647.24
40.46,647.24
48.97,647.24
31.21,647.24
24.24,647.24
20.65,990.12
168.74,990.12
79.8,990.12
44.09,990.12
35.43,990.12
45.8,990.12
51.62,990.12
65.92,990.12
15.68,990.12
40.15,990.12
75.59,990.12
22.07,990.12
29.15,990.12
30.77,990.12
39.07,990.12
45.56,990.12
20.1,990.12
32.64,990.12
37.43,990.12
89.86,990.12
53.96,731.99
29.44,731.99
4.17,731.99
63.02,731.99
9.55,731.99
3.78,731.99
17.35,731.99
55.31,731.99
23.46,731.99
7.2,731.99
15.85,731.99
34.75,731.99
13.42,731.99
19.05,731.99
16.75,731.99
26.44,731.99
63.64,731.99
19.62,731.99
8.48,731.99
75.56,731.99
9.87,731.99
39.21,731.99
31.84,731.99
3.35,731.99
28.42,731.99
5.88,731.99
52.62,731.99
31.32,795.93
29.57,795.93
15.19,795.93
21.89,795.93
40.62,795.93
24.2,795.93
25.52,795.93
55.76,795.93
4.19,795.93
44.68,795.93
19.08,795.93
14.6,795.93
40.3,795.93
50.11,795.93
27.7,795.93
66.84,795.93
26.71,795.93
44.84,795.93
11.49,795.93
12.51,795.93
46.06,795.93
12.27,795.93
56.79,795.93
35.91,795.93
9.68,795.93
28.1,795.93
36.93,1011.16
36.35,1011.16
23.48,1011.16
65.16,1011.16
53.74,1011.16
16.68,1011.16
22.26,1011.16
57.75,1011.16
14.14,1011.16
184.03,1011.16
43.41,1011.16
5.18,1011.16
7.98,1011.16
30.92,1011.16
20.41,1011.16
31.22,1011.16
33.58,1011.16
2.75,1011.16
6.3,1011.16
6.48,1011.16
36.46,1011.16
56.72,1011.16
14.45,1011.16
21.7,1011.16
1.35,1011.16
39.26,1011.16
11.71,1011.16
41.87,1011.16
70.78,1011.16
18.11,1011.16
58.34,762.19
43.17,762.19
41.8,762.19
65.83,762.19
34.92,762.19
34.46,762.19
73.18,762.19
3.13,762.19
5.43,762.19
37.36,762.19
11.56,762.19
22.91,762.19
38.98,762.19
8.85,762.19
46.34,762.19
4.47,762.19
29.61,762.19
40.69,762.19
19.71,762.19
18.52,762.19
32.09,762.19
1.8,762.19
12.74,762.19
12.95,762.19
6.23,762.19
54.63,762.19
2.49,762.19
52.13,851.79
113.95,851.79
36.76,851.79
20.21,851.79
7.5,851.79
42.23,851.79
27.25,851.79
38.61,851.79
31.66,851.79
10.59,851.79
21.66,851.79
6.47,851.79
36.66,851.79
49.83,851.79
45.04,851.79
10.73,851.79
42.85,851.79
49.41,851.79
29.36,851.79
32.56,851.79
32.32,851.79
19.49,851.79
43.15,851.79
37.74,851.79
13.63,851.79
155.09,155.09
50.19,892.08
39.11,892.08
6.83,892.08
47.17,892.08
26.04,892.08
46.83,892.08
28.75,892.08
118.51,892.08
51.49,892.08
11.43,892.08
17.62,892.08
3.64,892.08
8.51,892.08
40.34,892.08
70.25,892.08
2.17,892.08
5.75,892.08
27.38,892.08
13.18,892.08
47.69,892.08
71.51,892.08
12.72,892.08
57.55,892.08
28.74,892.08
12.66,892.08
7.73,892.08
38.29,892.08
26.45,698.96
20.4,698.96
13.45,698.96
39.29,698.96
29.66,698.96
7.1,698.96
1.6,698.96
18.45,698.96
28.42,698.96
34.93,698.96
6.23,698.96
29.7,698.96
32.42,698.96
42.95,698.96
14.32,698.96
12.22,698.96
54.41,698.96
8.55,698.96
38.93,698.96
52.58,698.96
12.27,698.96
11.7,698.96
47.23,698.96
37.26,698.96
41.12,698.96
22.56,698.96
14.76,698.96
129.12,745.8
212.75,745.8
110.2,745.8
162.81,745.8
130.92,745.8
9.57,796.46
16.51,796.46
40.24,796.46
6.07,796.46
1.03,796.46
33.19,796.46
61.17,796.46
1.59,796.46
50.9,796.46
19.12,796.46
52.95,796.46
17.7,796.46
25.56,796.46
54.47,796.46
22.61,796.46
35.34,796.46
55.42,796.46
12.19,796.46
50.38,796.46
17.56,796.46
22.04,796.46
42.88,796.46
45.31,796.46
3.14,796.46
21.16,796.46
24.62,796.46
0.3,796.46
53.44,796.46
39.72,438.77
20.57,438.77
20.99,438.77
4.76,438.77
5.23,438.77
20.9,438.77
